d_vendor_name,overall_total
2KEYS,148640997.86
INSA,140806802.23
INMARSAT SOLUTIONS,122516733.95
ZAYO CANADA,117318546.00
COMPUTER ASSOCIATES CANADA,114302521.48
MAPLESOFT CONSULTING,108612386.08
TELESAT,101019349.95
CLICK NETWORKS,98162778.60
DECISIVE TECHNOLOGIES,90101115.88
ITEX,87717270.55
VMWARE,84710945.13
STONEWORKS TECHNOLOGIES,80316240.02
BMC SOFTWARE CANADA,73561009.37
HEWLETT PACKARD,66327408.97
TES CONTRACT SERVICES,66020461.62
UNISYS CANADA,65626721.83
ORACLE CANADA,57783772.25
ECLIPSYS SOLUTIONS,46417496.44
ONX ENTERPRISE SOLUTIONS,45988309.07
HITACHI DATA SYSTEMS,45027994.80
MICRO FOCUS CANADA,44718047.57
KYNDRYL CANADA,41525857.31
CARAHSOFT TECHNOLOGY,35700083.63
CA,35152602.81
PROTAK CONSULTING GROUP,34980868.34
TELECOM COMPUTER SERVICES,32793332.65
CGI,28889141.89
GARTNER,27838398.16
METOCEAN TELEMATICS,27599342.75
BLACKBERRY,25679449.62
NORTHWESTEL,25087686.14
PURELOGIC,24515713.02
CITRIX,23953630.12
ENTRUST,21726002.56
NORTAC DEFENCE,21208217.62
TRANSPOLAR TECHNOLOGY,20865467.92
COMMVAULT SYSTEMS,20554590.15
DNR CONSULTING GROUP,19594426.17
CBCI TELECOM,19557379.11
SECUREKEY TECHNOLOGIES,19017588.79
EAGLE PROFESSIONAL RESOURCES,18389822.01
529040 ONTARIO AND 880382,17418308.13
GLASSHOUSE SYSTEMS,16735429.18
EMPOWERED NETWORKS,16161908.85
OPTIV CANADA FEDERAL,15796341.13
ISM INFORMATION SYSTEMS MANAGEMENT,15483522.04
CERIDIAN,11915767.64
COMPUWARE OF CANADA,11819115.29
R2I,11336460.63
CYTELLIGENCE,11300000.00
BRAGG COMMUNICATIONS,11193129.51
PRAGMATIC CONFERENCING,11171451.99
VERITAS TECHNOLOGIES,10992283.05
GSI INTERNATIONAL CONSULTING,10693836.38
WILLS TRANSFER,10319513.22
DALIAN ENTERPRISES,10055204.58
SAS INSTITUTE,9620179.01
ZYCOM,9487333.22
ACCESS 2 NETWORKS,9213938.01
KEYDATA ASSOCIATES,9125312.26
UNISOFT INTERNATIONAL,8933833.31
VERITAS CANADA,8594682.73
FOXIT SOFTWARE,8558522.21
TRACK24 CANADA,8217373.97
BELL AND HOWELL CANADA,8071965.60
LAURENTIAN TECHNOLOGIES,7779554.31
B L ASSOCIATES,7421077.11
MCAFEE INTERNATIONAL,7312538.44
CHARTER TELECOM,6825916.45
THE KTL GROUP,6103269.78
SAP,6081977.63
BP M GOVERNMENT IM IT CONSULTING,5731583.99
DILIGENS,5647388.77
CONNEX TELECOMMUNICATIONS,5561169.11
ICEBERG NETWORKS,5390757.22
CELLEBRITE,5241908.95
SALESFORCE CANADA,5173400.16
CHANNEL MANAGEMENT INTERNATIONAL,5001405.72
SHAW CABLE,4999153.39
SUSE SOFTWARE SOLUTIONS CANADA,4959317.63
INTEGRA NETWORKS,4264405.08
THE IT BROKER,4255747.79
CO VEN,4099640.00
DLS TECHNOLOGY,3730916.73
PURESPIRIT SOLUTIONS,3727378.14
GLOBAL KNOWLEDGE,3661411.13
MICHAEL WAGER CONSULTING,3459823.63
"NAVPOINT CONSULTING GROUP",3129722.19
CLOSEREACH,3090623.26
ORANGUTECH,2725637.15
