d_most_recent_category,total,percentage
3_information_technology,94378272.2433793,0.7563300150406856
11_defence,20292044.76993404,0.16261669302943949
10_office_management,9041986.793538356,0.07246080951682486
6_industrial_products_and_services,398437.7945945946,0.003193006780219452
9_human_capital,283106.19,0.002268760635802294
1_facilities_and_construction,254038.464630137,0.002035817261828532
2_professional_services,57639.649999999994,4.6191349253586327e-4
NA,28122.420000000002,2.2536787160852667e-4
4_medical,21322.82,1.708771350435604e-4
8_security_and_protection,18191.310163934428,1.457817945047567e-4
5_transportation_and_logistics,11350.08,9.095744150704336e-5
