d_most_recent_category,total,percentage
2_professional_services,391817118.86,0.6145511062735632
3_information_technology,229385629.43,0.35978313744474344
9_human_capital,8236939.95,0.012919345055681033
10_office_management,4244451.98,0.006657270792960356
8_security_and_protection,2966961.18,0.0046535722612771595
1_facilities_and_construction,404301.86,6.341329721028786e-4
4_medical,238265.77,3.737113258068193e-4
6_industrial_products_and_services,147277.78,2.3099991597116192e-4
5_transportation_and_logistics,55151.91,8.650379391829014e-5
7_travel,45273.68,7.101014424781687e-5
0_other,24998.99,3.9210019727791767e-5
