d_most_recent_category,total,percentage
2_professional_services,461897671.6097394,0.3298366357513289
10_office_management,264527736.81673992,0.1888966845632107
3_information_technology,180782900.69460592,0.1290953114326504
1_facilities_and_construction,135571559.8557941,0.0968103325798453
8_security_and_protection,113835342.25593297,0.08128871095722215
NA,96311079.15830219,0.06877480508711985
7_travel,76648514.69305263,0.05473395900348527
6_industrial_products_and_services,33155149.87172234,0.02367577011897068
5_transportation_and_logistics,20262222.03459372,0.014469055722765238
9_human_capital,15331626.737165341,0.010948165566537814
4_medical,2059360.3729404842,0.001470569216863679
