d_vendor_name,overall_total
COWATERSOGEMA,83863299.80
GRAYBRIDGE INTERNATIONAL CONSULTING,47840301.82
EXCEL HUMAN RESOURCES,39718138.44
CANADIAN CORPS OF COMMISSIONAIRES,37150056.27
AGRITEAM CANADA,36717893.23
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,36556582.09
JANKEL TACTICAL SYSTEMS,32520114.13
FRANNAN INTERNATIONAL,31286948.45
WORLD UNIVERSITY SERVICE OF CANADA,30778574.87
CORADIX TECHNOLOGY CONSULTING,22473116.38
ONX ENTERPRISE SOLUTIONS,21313528.29
THE AIM GROUP,17782063.14
HONEYWELL,17722236.07
G4S SECURITY SERVICES,17636503.65
MICROSOFT CANADA,17388535.92
ELLISDON,17051924.62
TIREE,15080215.69
BELL CANADA,14855219.29
DELOITTE AND TOUCHE,14583465.97
WORLD UNIVERSITY CONSORTIUM,14303725.16
PRICEWATERHOUSE COOPERS,14094817.02
VERITAAQ TECHNOLOGY HOUSE,13209661.26
CONSORTIUM TRANSTEC ET SERVICE,12866990.46
DHL EXPRESS CANADA,12561664.02
GARTNER,11870239.15
ALINEA INTERNATIONAL,11244055.30
COSSETTE COMMUNICATIONS,10349567.62
MAPLESOFT CONSULTING,9950322.90
BOYD MOVING STORAGE,9599678.63
SI SYSTEMS,9563977.03
CGI,9498582.21
PMB ELECTRICAL SERVICES,9298105.73
COFOMO,9226973.12
TEKSYSTEMS CANADA,8610352.83
CORSORTIUM TRANSTEC,7954428.00
DONNA CONA,7919502.97
BOLLORE LOGISTICS,7743262.09
DYNABOOK CANADA,7259317.76
TERLIN CONSTRUCTION,6517904.62
C2D SERVICES,6381391.41
PRINTERS PLUS,6281535.75
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,6264240.49
QATAR AIRWAYS,6152461.50
PANALPINA,5829315.42
RAYMOND CHABOT GRANT THORNTON,5812598.03
INTERACTIVE AUDIO VISUAL,5678929.04
TOYOTA GIBRALTAR STOCKHOLDINGS,5658154.60
RANDSTAD,5591716.78
NEWFOUND RECRUITING,5568916.34
JONES LANG LASALLE K K,5488119.97
"NATIONAL ARTS CENTRE",5460485.87
TRANSTEC,5426993.31
MESSA COMPUTING,5329242.88
TOTEM OFFISOURCE,5238618.34
PROCOM CONSULTANTS,5205300.55
ETHIOPIAN AIRLINES GROUP,5164517.90
TOSHIBA CANADA,5122378.43
COLLIERS PROJECT LEADERS,5065366.51
ALTIS HUMAN RESOURCES,4987966.38
J L RICHARDS ASSOCIATES,4852799.41
ERNST YOUNG,4810409.80
MOMENTUM SOLUTIONS,4545820.00
