d_most_recent_category,total,percentage
2_professional_services,407543722.7973868,0.2888743709255031
3_information_technology,329146122.1654495,0.2333047318959287
1_facilities_and_construction,131068491.80833109,0.09290372051223966
NA,101149329.46308692,0.07169647643600768
8_security_and_protection,99251814.25593296,0.07035148329508599
10_office_management,90861815.40199779,0.06440450017298022
7_travel,76651999.91231596,0.054332325628434326
9_human_capital,70732465.31163108,0.05013645230665399
5_transportation_and_logistics,64529292.70022969,0.04573953122647884
6_industrial_products_and_services,37804756.02329851,0.026796695675403263
4_medical,2059360.3729404842,0.0014597119252842687
