d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
2KEYS,2017-2018,626585.10,643537.15
2KEYS,2018-2019,608514.28,616279.84
2KEYS,2019-2020,561040.97,559891.81
2KEYS,2020-2021,565356.45,553279.49
2KEYS,2021-2022,17553.36,16213.92
4083261 CANADA,2020-2021,319469.39,310696.68
4083261 CANADA,2021-2022,182097.55,167219.43
4PLAN CONSULTING,2017-2018,415865.81,426185.87
4PLAN CONSULTING,2018-2019,383203.88,387947.76
4PLAN CONSULTING,2019-2020,304918.91,304348.57
4PLAN CONSULTING,2020-2021,255350.39,249567.60
4PLAN CONSULTING,2021-2022,269372.52,204626.25
9168516 CANADA,2019-2020,18036.57,18061.30
9168516 CANADA,2020-2021,18330.52,18091.07
9168516 CANADA,2021-2022,158652.76,146546.46
ACCESS 2 NETWORKS,2020-2021,12388.48,12226.65
ACKLANDS GRAINGER,2019-2020,183427.96,182958.51
ACKLANDS GRAINGER,2021-2022,25655.04,23401.41
ADGA GROUP,2017-2018,21458.70,21827.30
ADGA GROUP,2018-2019,74425.33,75465.22
ADGA GROUP,2019-2020,109837.39,109612.41
ADGA GROUP,2020-2021,109537.28,107235.66
ADOBE,2019-2020,28976.00,29015.73
ADOBE,2020-2021,39776.00,38050.68
ADRM TECHNOLOGY CONSULTING,2017-2018,2333.86,2373.95
ADRM TECHNOLOGY CONSULTING,2018-2019,38418.91,38858.71
ADRM TECHNOLOGY CONSULTING,2020-2021,169439.97,164807.48
ADRM TECHNOLOGY CONSULTING,2021-2022,205467.07,156081.09
ADVANCED BUSINESS INTERIORS,2017-2018,437906.56,446322.80
ADVANCED BUSINESS INTERIORS,2018-2019,84346.20,85580.04
ADVANCED BUSINESS INTERIORS,2019-2020,257609.60,256963.75
ADVANCED BUSINESS INTERIORS,2020-2021,227947.80,223813.49
ADVANCED BUSINESS INTERIORS,2021-2022,55556.54,23225.93
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,467951.70,477281.18
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,13105.74,13220.39
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,96504.00,93529.27
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,253096.50,189500.77
AGRITEAM CANADA,2017-2018,7989268.60,8203847.67
AGRITEAM CANADA,2018-2019,8078360.19,8182172.70
AGRITEAM CANADA,2019-2020,8870296.44,8846254.17
AGRITEAM CANADA,2020-2021,5955813.76,5831205.02
