d_most_recent_category,total,percentage
2_professional_services,29089369.19404312,0.36939507246164033
11_defence,27530066.54590599,0.3495940684984401
5_transportation_and_logistics,13372937.59707707,0.169817957197534
1_facilities_and_construction,6643012.587802212,0.08435714435283431
6_industrial_products_and_services,1096090.3497071727,0.013918843390990365
10_office_management,854114.5262382359,0.010846082471080933
8_security_and_protection,100979.88133180639,0.0012823059287710168
9_human_capital,24539.40990291262,0.00031161683289813536
3_information_technology,19193.437,2.437303127513264e-4
NA,18362.5,2.331785530593729e-4
