d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ACCESS 2 NETWORKS,2017-2018,18110.66,18579.97
ACCESS 2 NETWORKS,2018-2019,18110.66,18392.31
ACCESS 2 NETWORKS,2019-2020,2356.05,2299.03
ACCESS 2 NETWORKS,2020-2021,26387.70,25106.62
ADVANCED BUSINESS INTERIORS,2017-2018,39208.34,40132.56
ADVANCED BUSINESS INTERIORS,2018-2019,348978.99,352920.39
AON REED STENHOUSE,2021-2022,12803.73,0.00
BLACKBERRY,2020-2021,14753.62,13934.60
BLACKBERRY,2021-2022,50271.94,38701.24
CARAHSOFT TECHNOLOGY,2018-2019,6739.17,6826.28
CARAHSOFT TECHNOLOGY,2019-2020,3411.19,3418.59
CBCI TELECOM,2017-2018,172832.42,176906.44
CBCI TELECOM,2018-2019,193782.88,197866.54
CHARRON HUMAN RESOURCES,2018-2019,24408.00,24679.56
CISION CANADA,2017-2018,29127.27,29882.05
CISION CANADA,2018-2019,29127.27,29580.24
CISION CANADA,2019-2020,29207.07,28960.59
CISION CANADA,2020-2021,29127.27,27690.43
CISION CANADA,2021-2022,25267.05,19974.88
CLOSEREACH,2018-2019,22830.94,23063.40
CNW GROUP,2017-2018,1786.82,1832.77
CNW GROUP,2018-2019,2415.52,2453.08
CNW GROUP,2019-2020,2422.14,2401.70
CNW GROUP,2020-2021,2415.52,2296.36
DECISIVE GROUP,2019-2020,3064.56,2990.39
DECISIVE GROUP,2020-2021,26014.20,24702.08
DECISIVE GROUP,2021-2022,48903.36,43096.33
GARTNER,2017-2018,19092.40,19565.27
GARTNER,2018-2019,56041.19,56793.75
GARTNER,2019-2020,42494.46,42531.81
HORIZANT,2021-2022,143.65,0.00
ICEBERG NETWORKS,2020-2021,81544.32,77282.51
ICEBERG NETWORKS,2021-2022,228681.24,180164.43
INSA,2019-2020,9931.37,9691.02
INSA,2020-2021,45875.86,43701.62
INSA,2021-2022,6595.02,6216.91
IT NET CONSULTANTS,2018-2019,68515.39,69219.72
IT NET CONSULTANTS,2019-2020,290299.83,287713.16
IT NET CONSULTANTS,2020-2021,250234.83,238460.74
ITEX,2021-2022,17335.02,12970.05
KONICA MINOLTA BUSINESS SOLUTIONS,2018-2019,12971.76,13099.39
KONICA MINOLTA BUSINESS SOLUTIONS,2019-2020,50927.82,50562.19
KONICA MINOLTA BUSINESS SOLUTIONS,2020-2021,36508.64,34707.68
KONICA MINOLTA BUSINESS SOLUTIONS,2021-2022,36508.64,28559.42
LEXISNEXIS CANADA,2017-2018,9486.33,9731.84
LEXISNEXIS CANADA,2018-2019,9507.32,9655.18
LEXISNEXIS CANADA,2019-2020,9533.37,9452.92
LEXISNEXIS CANADA,2020-2021,9802.77,9319.20
LEXISNEXIS CANADA,2021-2022,9802.77,7668.36
ORACLE CANADA,2017-2018,42972.51,44074.68
ORACLE CANADA,2018-2019,30964.93,31445.80
ORACLE CANADA,2019-2020,31584.22,31317.68
ORACLE CANADA,2020-2021,29887.73,28413.38
ORACLE CANADA,2021-2022,37154.24,14559.31
PANASONIC,2017-2018,55983.06,57302.70
QUINTET CONSULTING,2019-2020,60532.50,60532.88
RHEA,2018-2019,13614.91,13755.03
RHEA,2019-2020,11219.69,11259.58
SAS INSTITUTE,2018-2019,34424.36,34787.60
SAS INSTITUTE,2019-2020,114864.83,113751.43
SAS INSTITUTE,2020-2021,91467.31,87188.33
SDL INTERNATIONAL CANADA,2018-2019,1581.51,1597.07
SDL INTERNATIONAL CANADA,2019-2020,10967.44,10900.35
SDL INTERNATIONAL CANADA,2020-2021,1041.85,981.03
SDL INTERNATIONAL CANADA,2021-2022,8266.88,6466.88
SUSE SOFTWARE SOLUTIONS CANADA,2019-2020,31.61,30.84
SUSE SOFTWARE SOLUTIONS CANADA,2020-2021,11536.59,10967.49
SUSE SOFTWARE SOLUTIONS CANADA,2021-2022,11539.70,9024.67
SYSTEMSCOPE,2018-2019,24860.00,25104.60
THINK ON,2021-2022,19785.54,12367.76
TOTEM OFFISOURCE,2018-2019,18726.93,18911.18
UNIVERSITY OF SASKATCHEWAN,2019-2020,9750.00,9621.76
VMWARE,2017-2018,25036.64,25707.23
VMWARE,2018-2019,14049.24,14264.58
VMWARE,2019-2020,14918.19,14791.38
VMWARE,2020-2021,14919.63,14183.72
VMWARE,2021-2022,7451.75,7019.58
WESTBURY NATIONAL SHOW SYSTEMS,2018-2019,12427.18,12612.82
ZYCOM,2017-2018,78417.12,80375.65
ZYCOM,2018-2019,133928.89,136036.67
ZYCOM,2019-2020,106262.66,105041.90
ZYCOM,2020-2021,326879.73,308819.85
ZYCOM,2021-2022,143248.95,121798.56
