d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,350347.14,361016.43
1_facilities_and_construction,2018-2019,251813.48,256376.14
1_facilities_and_construction,2019-2020,261446.40,259312.44
1_facilities_and_construction,2020-2021,402197.42,383498.53
1_facilities_and_construction,2021-2022,234086.14,218410.85
10_office_management,2017-2018,28656.80,29612.44
2_professional_services,2017-2018,163237.45,168239.53
2_professional_services,2018-2019,151880.95,154657.18
2_professional_services,2019-2020,181038.13,179403.59
2_professional_services,2020-2021,196079.87,186937.54
4_medical,2018-2019,4716.34,4756.57
4_medical,2019-2020,172618.16,171232.88
6_industrial_products_and_services,2018-2019,563046.90,571763.24
6_industrial_products_and_services,2019-2020,149254.48,146207.82
6_industrial_products_and_services,2020-2021,540952.22,514584.89
