d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,5390.229885057471
1_facilities_and_construction,2018-2019,142602.62725779967
1_facilities_and_construction,2019-2020,36858.82614536174
1_facilities_and_construction,2020-2021,78597.01840669637
10_office_management,2017-2018,10500
10_office_management,2019-2020,15750.000000000002
2_professional_services,2017-2018,2306796.15228282
2_professional_services,2018-2019,2522258.6367718712
2_professional_services,2019-2020,2046797.0860424985
2_professional_services,2020-2021,1825985.117142045
3_information_technology,2017-2018,116890.85152838427
3_information_technology,2018-2019,116890.85152838427
4_medical,2017-2018,251538.56666666665
4_medical,2018-2019,251538.56666666665
4_medical,2019-2020,264611.4007355931
4_medical,2020-2021,281275.7105383212
9_human_capital,2017-2018,18025
9_human_capital,2019-2020,24921
