d_most_recent_category,total,percentage
2_professional_services,170624139.8593281,0.3869439525689685
4_medical,159157272.10820517,0.3609392199744876
3_information_technology,89739370.24590558,0.20351227354247325
10_office_management,7595800.360925834,0.01722586860806821
8_security_and_protection,4828036.596114583,0.010949092931331025
1_facilities_and_construction,3919234.159408053,0.00888809729933277
6_industrial_products_and_services,2865867.381047209,0.006499256511271781
9_human_capital,1839301.314280219,0.0041711947740786055
5_transportation_and_logistics,229402.75,5.202429555886671e-4
NA,154686.71944345036,3.508008343996554e-4
