d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
3D DATACOMM,2019-2020,25875.00,25829.24
A HUNDRED ANSWERS,2018-2019,43245.28,43701.59
A HUNDRED ANSWERS,2019-2020,131055.09,130358.67
ACME FUTURE SECURITY CONTROLS,2019-2020,113390.53,110646.42
ACME FUTURE SECURITY CONTROLS,2020-2021,65708.93,62545.42
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,306767.23,310404.69
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,646286.63,643926.69
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,1007408.64,953431.58
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,204993.01,133683.01
AGILEC,2017-2018,949498.42,972106.02
AGILEC,2018-2019,2864189.46,2908731.84
AGILEC,2019-2020,2872036.55,2847799.51
AGILEC,2020-2021,2864189.46,2722899.80
AGILEC,2021-2022,714085.59,675211.59
ALTIS HUMAN RESOURCES,2021-2022,28035.71,7451.44
AMAZON,2020-2021,16100.00,15237.72
APPLIED ELECTONICS,2017-2018,11023.55,11335.13
APPLIED ELECTONICS,2019-2020,17468.59,17437.70
ARTEMP PERSONNEL SERVICES,2017-2018,6446.38,6616.33
ATLANTIC BUSINESS INTERIORS,2018-2019,59841.71,60584.72
ATLANTIC BUSINESS INTERIORS,2019-2020,196424.40,194014.43
ATLANTIC BUSINESS INTERIORS,2020-2021,13039.07,12462.96
ATLANTIC BUSINESS INTERIORS,2021-2022,24991.55,4318.58
AVI SPL CANADA,2018-2019,13544.79,13687.87
AVI SPL CANADA,2019-2020,80221.40,79691.48
AVI SPL CANADA,2021-2022,78444.81,2771.45
BAYSHORE HEALTHCARE,2017-2018,163364.64,167597.96
CALIAN,2017-2018,3874056.19,3967410.66
CALIAN,2018-2019,7684948.42,7804460.74
CALIAN,2019-2020,7739640.58,7673975.40
CALIAN,2020-2021,7684948.42,7305852.09
CALIAN,2021-2022,7684948.42,6011663.30
CANADA POST,2017-2018,3062.47,3134.65
CANADA POST,2018-2019,9357.53,9520.55
CANADA POST,2019-2020,3173.81,3097.00
CANADA POST,2020-2021,12767.08,12136.95
CANADA POST,2021-2022,12908.36,10084.37
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,1165599.44,1195988.45
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,947536.21,962448.14
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,1219626.07,1209104.24
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,944096.22,897524.22
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,967791.96,736848.05
CANADIAN VETERANS VR SERVICE,2017-2018,8995962.19,9229077.00
CANADIAN VETERANS VR SERVICE,2018-2019,6136971.47,6247001.27
CANON,2019-2020,54292.79,54121.32
CARAHSOFT TECHNOLOGY,2017-2018,36299.45,37155.10
CARAHSOFT TECHNOLOGY,2018-2019,662464.87,672767.18
CBCI TELECOM,2018-2019,528784.28,534199.44
CBCI TELECOM,2019-2020,227486.11,223359.84
CDW CANADA,2018-2019,194117.27,197254.72
CDW CANADA,2019-2020,101027.01,99596.30
CDW CANADA,2020-2021,220469.34,209613.48
CDW CANADA,2021-2022,63830.73,25369.01
CHARRON HUMAN RESOURCES,2018-2019,11063.70,11172.56
CHARRON HUMAN RESOURCES,2019-2020,33744.30,33773.96
CISION CANADA,2018-2019,4404.63,4447.97
CISION CANADA,2019-2020,52003.11,51564.25
CISION CANADA,2020-2021,47456.39,45155.25
CISION CANADA,2021-2022,27643.02,18423.59
CLOSEREACH,2018-2019,24874.00,25184.71
CLOSEREACH,2019-2020,24874.00,24625.41
CLOSEREACH,2020-2021,25764.00,24458.82
CNW GROUP,2017-2018,27644.10,28360.45
CNW GROUP,2018-2019,45200.00,45902.93
CNW GROUP,2019-2020,51076.00,50605.79
