d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,76663.54
1_facilities_and_construction,2018-2019,27594
1_facilities_and_construction,2019-2020,63794.98695652174
1_facilities_and_construction,2020-2021,235192.60669026725
11_defence,2020-2021,10202.628696604601
2_professional_services,2017-2018,3149054.7371100164
2_professional_services,2018-2019,3149054.7371100164
2_professional_services,2019-2020,10269573.530811712
2_professional_services,2020-2021,8145628.629830062
4_medical,2017-2018,105794.32400876231
4_medical,2018-2019,182145.888033954
4_medical,2019-2020,182644.917864184
4_medical,2020-2021,182145.888033954
5_transportation_and_logistics,2017-2018,107718.41
6_industrial_products_and_services,2020-2021,118500.56
