nibs_gsin,gsin_description_en,d_it_subcategory
N7010120,"COMPUTERS, DIGITAL SYSTEMS, MICRO",it_devices_equipment
N7010,"COMPUTERS, DIGITAL SYSTEMS, MICRO",it_devices_equipment
N7010124,"COMPUTERS, DIGITAL SYSTEMS, PERSONAL/PORTABLE (MAY INCLUDE      OPERATING SYSTEM SOFTWARE) OTHER THAN IBM COMPATIBLE",it_devices_equipment
N7010126,"COMPUTERS, MICRO, LAPTOP",it_devices_equipment
N7010127,Palmtop Organizer,it_devices_equipment
N7010130,"COMPUTERS, DIGITAL SYSTEMS, SPECIAL PURPOSE, INCLUDES ARTIFICIAL INTELLIGENCE, ARRAY, PARALLEL, VECTOR ETC.",it_devices_equipment
N7010132,"Computers, Digital Systems, Special, for Persons with Disabilities",it_devices_equipment
N7025108,"READERS, IMAGE SCANNER FOR DESK TOP PUBLISHING, ETC.",it_devices_equipment
N7025112,"READERS, MAGNETIC INK CHARACTER (MICR)",it_devices_equipment
N7025,ADP Input-Output and Storage Devices,it_devices_equipment
N7025050,DIGITIZERS,it_devices_equipment
N7025060,KEYBOARDS-MICROCOMPUTER,it_devices_equipment
N7025197,"INPUT/OUTPUT DEVICES, MISCELLANEOUS, MILITARIZED, RUGGEDIZED",it_devices_equipment
N7025115,"READERS, BAR CODE (INCLUDES WANDS ETC)",it_devices_equipment
N7025150,"Monitor, CRT or LCD, Microcomputer Etc.",it_devices_equipment
N7025162,VOICE OUTPUT DEVICES,it_devices_equipment
N7025194,"Input/output Devices, Miscellaneous, Special, for Persons with Disabilities",it_devices_equipment
N7025405,"LOCAL AREA NETWORKS, SYSTEMS AND COMPONENTS",it_devices_equipment
N7025501,Readers - RFID,it_devices_equipment
N7035,ADP Support Equipment,it_devices_equipment
7035,ADP Support Equipment,it_devices_equipment
WL7025,ADP INPUT-OUTPUT AND STORAGE DEVICES - LEASING OF EQUIPMENT,it_devices_equipment
WL7025AC,DIGITIZERS - LEASE,it_devices_equipment
WR7010AD,"COMPUTERS, DIGITAL SYSTEMS, MICRO - RENTAL",it_devices_equipment
WR7025,ADP INPUT-OUTPUT AND STORAGE DEVICES - RENTAL,it_devices_equipment
D301B,Data Centre Services,it_consulting_services
D301CD,Disaster Recovery Services,it_consulting_services
D301BBM,"Facilities Management Services, Large Scale",it_consulting_services
D301BBN,"Facilities Management Services, Local Area Network",it_consulting_services
D301D,Facilities Operation and Outsourcing Services,it_consulting_services
JI7010,ADPE System Configuration - Installation,it_devices_equipment
JI7021,"ADP Central Processing Unit (CPU, Computer) Digital - Installation",it_devices_equipment
JI7025,ADP Input - Output and Storage Devices - Installation,it_devices_equipment
JX5815,Teletype and Facsimile Equipment - Maintenance,it_devices_equipment
JX7010,"Automatic Data Processing Equipment, System Configuration - Repair",it_devices_equipment
JX70,"Automatic Data Processing Equipment, System Configuration - Repair",it_devices_equipment
JX7010A,"Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance",it_devices_equipment
JX7020,"ADP Central Processing Unit (CPU, Computer) Analog - Maintenance",it_devices_equipment
JX7021,"ADP Central Processing Unit (CPU,Computer) Digital - Maintenance",it_devices_equipment
JX7021A,"Computer, CPU, Digital - Large Scale - IBM Plug Compatible - Maintenance",it_devices_equipment
JX7021AD,"Computers CPU, Digital, Micro - Maintenance",it_devices_equipment
JX7022,"ADP Central Processing Unit (CPU, Computer) Hybrid - Maintenance",it_devices_equipment
JX7025,ADP Input-Output and Storage Devices - Maintenance,it_devices_equipment
JX7025A,Computer Graphics Equipment N.E.S. - Maintenance,it_devices_equipment
JX7010AA,"Computers, Digital Systems, Large Scale (May Include Operating Systems Software) other than IBM Plug Compatible - Maintenance",it_devices_equipment
JX7010AB,"Computers, Digital Systems, Mini/Super Micro (May Include Operating System Software) - Maintenance",it_devices_equipment
JX7010AC,"Computers, Digital Systems, Mini/Super Micro (May Include Operating System Software) Other Than IBM Plug Compatible - Maintenance",it_devices_equipment
JX7010AD,"Computers, Digital Systems, Micro - Repair and Overhaul",it_devices_equipment
JX7010AE,"Computers, Digital Systems, Personal/Portable (May Include Operating System Software - Maintenance",it_devices_equipment
JX7010AG,"Computers, Digital Systems, Personal/Portable (May Include Operating System Software) other than IBM Compatible - Maintenance",it_devices_equipment
JX7010AH,"Computers, Digital Systems, Special Purpose, Includes Artificial Intelligence, Array, Parallel, Vector etc. - Maintenance",it_devices_equipment
JX7010B,"Computers, Digital Turnkey Systems, Large Scale (Includes Application Software) - Maintenance",it_devices_equipment
JX7010BA,"Computers, Digital Turnkey Systems, Mini/Super Micro (Includes Application Software) - Maintenance",it_devices_equipment
JX7010BB,"Computers, Digital Turnkey Systems, Personal/Portable (Includes Application Software - Maintenance",it_devices_equipment
JX7010C,"Computers, Miscellaneous Systems, Analog Computer (Including Turnkey) - Maintenance",it_devices_equipment
JX7010CA,"Computers, Miscellaneous Systems, Hybrid Computer (Including Turnkey) - Maintenance",it_devices_equipment
JX7025BO,"Monitor, CRT, Microcomputer etc. - Maintenance",it_devices_equipment
JX7025BU,"Input/Output Devices, Miscellaneous, Used, EDP - Maintenance",it_devices_equipment
JX7025AB,"Data Acquisition and Collection Equipment, On Line - Maintenance",it_devices_equipment
JX7025AD,"Security Devices, Encryption, etc. - Maintenance",it_devices_equipment
JX7025CA,Controller/Processors - Maintenance,it_devices_equipment
JX7025CC,Modems - Maintenance,it_devices_equipment
JX7035AB,"Interfaces, Special Purpose (for Process Control, Analog etc.) - Maintenance",it_devices_equipment
JX7035AC,"Switching Devices (Data, Modems, Peripherals, Video etc.) - Maintenance",it_devices_equipment
JX7042,Mini and Micro Computer Control Devices - Repair,it_devices_equipment
N7010,"Automatic Data Processing Equipment, System Configuration",it_devices_equipment
N7010102,"COMPUTERS, DIGITAL SYSTEMS - LARGE SCALE (MAY INCLUDE OPERATING SYSTEM SOFTWARE) IBM PLUG COMPATIBLE",it_devices_equipment
N7021,"ADP Central Processing Unit (CPU, Computer) Digital",it_devices_equipment
N7021112,"COMPUTER, CPU, DIGITAL MINI/SUPER MICRO - IBM PLUG COMPATIBLE",it_devices_equipment
N7021114,"COMPUTER, CPU, DIGITAL MINI/SUPER MICRO - OTHER THAN IBM PLUG   COMPATIBLE",it_devices_equipment
N7021120,"COMPUTERS CPU, DIGITAL, MICRO",it_devices_equipment
N7021130,"COMPUTER, CPU, DIGITAL, SPECIAL PURPOSE, INCLUDES VECTOR, PARALLEL, ARRAY, ETC.",it_devices_equipment
N7021197,"COMPUTERS CPU, DIGITAL, INDUSTRIAL, MILITARIZED, RUGGEDIZED",it_devices_equipment
N7022,"ADP Central Processing Unit (CPU, Computer) Hybrid",it_devices_equipment
N7022100,"COMPUTERS CPU, HYBRID",it_devices_equipment
N7010200,"COMPUTERS, DIGITAL TURNKEY SYSTEMS, LARGE SCALE (INCLUDES  APPLICATION SOFTWARE)",it_devices_equipment
N7010210,"COMPUTERS, DIGITAL TURNKEY SYSTEMS, MINI/SUPER MICRO (INCLUDES  APPLICATION SOFTWARE)",it_devices_equipment
N7010220,"COMPUTERS, DIGITAL TURNKEY SYSTEMS, PERSONAL/PORTABLE (INCLUDES APPLICATION SOFTWARE",it_devices_equipment
N7010230,"COMPUTERS, DIGITAL TURNKEY SYSTEMS, SPECIAL APPLICATION",it_devices_equipment
N7010300,"COMPUTERS, MISCELLANEOUS SYSTEMS, ANALOG COMPUTER (INCLUDING    TURNKEY)",it_devices_equipment
N7010310,"COMPUTERS, MISCELLANEOUS SYSTEMS, HYBRID COMPUTER (INCLUDING    TURNKEY)",it_devices_equipment
N7010997,"COMPUTERS AND TURNKEY SYSTEMS, INDUSTRIAL, MILITARIZED, RUGGEDIZED",it_devices_equipment
N7020,"ADP Central Processing Unit (CPU, Computer) Analog",it_devices_equipment
N7020100,"Computer CPU, Analog",it_devices_equipment
N7025200,MULTIPLEXERS,it_devices_equipment
N7025210,CONTROLLER/PROCESSORS,it_devices_equipment
N7025225,"MODEMS, WIRELESS",it_devices_equipment
N7025310,"TERMINALS, DISPLAY, NON-INTELLIGENT",it_devices_equipment
N7025311,"TERMINALS, DISPLAY, INTELLIGENT",it_devices_equipment
N7025400,ADD ON MEMORIES (INTERNAL/EXTERNAL),it_devices_equipment
N7025401,"STORAGE DEVICES, ADD IN MEMORY, EDP",it_devices_equipment
N7025410,"MAGNETIC DISK SUBSYSTEMS AND DRIVES, RIGID (INCLUDES REMOVABLE  AND NON-REMOVABLE, CARTRIDGE, ETC.)",it_devices_equipment
N7025411,"MAGNETIC DISK DRIVES, FLEXIBLE (FLOPPY)",it_devices_equipment
N7025415,OPTICAL DISK DRIVES,it_devices_equipment
N7025421,MAGNETIC TAPE DRIVES CASSETTE AND CARTRIDGE,it_devices_equipment
N7025430,MASS STORAGE SUBSYSTEMS - VERY LARGE,it_devices_equipment
N7025497,"STORAGE AND MEMORY DEVICES, MILITARIZED, RUGGEDIZED",it_devices_equipment
