Group-Groupe_code_OBJ-ART,Group_name-Groupe_nom_OBJ-ART,Category-Catégorie_code_OBJ-ART,Category_name-Catégorie_nom_OBJ-ART,Category_sub-division-Sous-divisiondecatégorie_code_OBJ-ART,Category_sub-division_name-Sous-divisiondecatégorie_nom_OBJ-ART,Sub-category-Sous-catégorie_code_OBJ-ART,Sub-category_name-Sous-catégorie_nom_OBJ-ART,Sub-category-Sous-catégorie_description_OBJ-ART,Reportingobject-Articlederapport_code_OBJ-ART,Reportingobject_name-Articlederapport_nom_OBJ-ART,Code_OBJ-ART,Name-Nom_OBJ-ART,Description_OBJ-ART,Notes,Department_specific-Particulier_au_ministère
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0101","Civilian regular time - Continuing employment","Basic salaries and wages for indeterminate civilian personnel who are employed full-time and includes the salaries of ministers, the Prime Minister, the President of the Privy Council, the President of the Treasury Board, the various secretaries of state and ministers without portfolio. This object does not include any remuneration for working non-standard hours, extra duty or holiday pay, retroactive salaries, or severance pay, bilingual bonus or allowances.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0102","Civilian regular time - Part-time, seasonal, casual and student","Basic salaries and wages for civilian personnel employed part-time and those employed on a full-time seasonal, term, casual or student basis. This object does not include any remuneration for working non-standard hours, extra duty or holiday pay, retroactive salaries, or severance pay, bilingual bonus or allowances.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0103","Civilian premium pay for work during non-standard hours or other reasons","Remuneration to civilian personnel that are entitled to a premium for working evening or night shifts, or on weekends, or designated holidays.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0104","Civilian holiday pay in lieu of leave","Remuneration to civilian personnel as compensation for annual vacation leave credits or statutory holidays (in lieu of time off).","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0105","Civilian overtime (for additional hours)","Remuneration to civilian personnel for time worked that is in addition to the standard hours of work.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0106","Civilian bilingual bonus","Remuneration to eligible civilian personnel in the form of a bonus for using both official languages as a requirement of their employment.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0107","Civilian severance pay and termination benefits","Remuneration to civilian personnel for severance pay for termination of employment (retirement/resignation) OR termination benefits due to a special program encouraging departure before age of retirement (e.g., termination benefits provided for by an Early Retirement Incentive (ERI) program or Early Departure Incentive (EDI) program).","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0108","Civilian severance pay and termination benefits - Immediate Settlement","Remuneration to civilian personnel for the immediate cash-out of all or portion of severance pay benefits earned prior to termination of employment as permitted by collective agreements or under terms and conditions of employment.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0109","Military and Royal Canadian Mounted Police (RCMP) members retroactive payments - Current fiscal year","Retroactive pay increase for salaries and wages including overtime paid to military and Royal Canadian Mounted Police (RCMP) members when the pay increase is related to the current fiscal year.",""," - 030 - Royal Canadian Mounted Police;  - 018 - National Defence (Department of);  - 163 - Shared Services Canada"
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0110","Civilian retroactive payments - Previous fiscal year(s)","Retroactive pay increase to civilian personnel for salaries and wages, including overtime, when the pay increase is related to the previous fiscal year(s).","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0111","Civilian retroactive payments - Current fiscal year","Retroactive pay increase to civilian personnel for salaries and wages, including overtime, when the pay increase is related to the current fiscal year.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0112","Civilian pay equity","Civilian pay equity complaint settlement relating to salaries, wages and overtime.","3 Refer to 7.4 List of pay entitlement codes",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0113","Other salaries and wages","Salaries and wages not included in objects 0101 to 0111, and 0114 to 0119.","",""
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0114","Royal Canadian Mounted Police (RCMP) members - Overtime","Remuneration to RCMP members for time worked that is in addition to the standard hours of work.",""," - 030 - Royal Canadian Mounted Police;  - 163 - Shared Services Canada"
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0115","Military and Royal Canadian Mounted Police (RCMP) members - Regular time","Basic salaries and wages for regular time worked by military and Royal Canadian Mounted Police (RCMP) members. This object does not include any remuneration for working non-standard hours, extra duty or holiday pay, retroactive salaries, severance pay or allowances.",""," - 030 - Royal Canadian Mounted Police;  - 018 - National Defence (Department of);  - 005 - Foreign Affairs, Trade and Development (Department of);  - 163 - Shared Services Canada"
"A","Objects of expenditure","0","Services",,,"01","Personnel","Compensation, to or on behalf of employees (e.g., public servants, members of the Canadian Forces, members of the Royal Canadian Mounted Police (RCMP), judges, Members of Parliament and Senators, and the Governor General and Lieutenant Governors) for salaries and wages, overtime, severance pay, as well as allowances and other benefits under various collective agreements and other regulations. Also included are the government's contributions, as the employer, to various employee benefit plans, and supplementary personnel costs which relate to the cost of employee exchange agreements with other employers, or to various supplementary benefits. Note: A list of pay entitlement codes related to each object in standard object 01 is included as Appendix C of Chapter 7. The list is issued to ensure that the pay entitlement codes used for pay transactions are aligned to the appropriate object codes used for the expenditures and thus facilitate government-wide coding consistency.","010","Salaries and wages","0116","Military and Royal Canadian Mounted Police (RCMP) members - Severance pay and termination benefits - Immediate settlement","Remuneration to military and Royal Canadian Mounted Police (RCMP) members for the immediate cash-out of all or portion of severance pay benefits earned prior to termination of employment as permitted by collective agreements or under terms and conditions of employment.",""," - 030 - Royal Canadian Mounted Police;  - 018 - National Defence (Department of);  - 163 - Shared Services Canada"
