economic_object_code,d_vendor_name,category
859,SERCO,1_facilities_and_construction
3251,MICRO FOCUS CANADA,3_information_technology
3252,ROGERS,3_information_technology
3253,MONERIS,3_information_technology
3253,TELUS,3_information_technology
3259,MOTOROLA SOLUTIONS CANADA,3_information_technology
3425,JANKEL TACTICAL SYSTEMS,8_security_and_protection
3429,MORPHO CANADA,3_information_technology
3718,HONEYWELL,3_information_technology
5399,SEASONS CULINARY SERVICES,10_office_management
6081,BUBBLE TECHNOLOGY INDUSTRIES,6_industrial_products_and_services
6086,GOLDAK AIRBORNE SURVEYS,2_professional_services
6099,HONEYWELL,3_information_technology
7029,NOVA SCOTIA POWER,1_facilities_and_construction
7099,AQUATIC INFORMATICS,3_information_technology
7099,AXYS TECHNOLOGIES,3_information_technology
199,MACDONALD DETTWILER AND ASSOCIATES,2_professional_services
664,L3HARRIS,11_defence
3259,PCL CONSTRUCTORS,1_facilities_and_construction
3259,AON REED STENHOUSE,2_professional_services
3259,AEG FUELS,5_transportation_and_logistics
3259,WORLD FUEL SERVICES,5_transportation_and_logistics
