category,d_description_en
1_facilities_and_construction,Institutional buildings
1_facilities_and_construction,Engineering consultants - construction
1_facilities_and_construction,Contracted building cleaning
1_facilities_and_construction,5051 space rental - office and administrative
1_facilities_and_construction,Other buildings - purchased repair and maintenance
1_facilities_and_construction,Rental of institutional buildings
1_facilities_and_construction,"Electric lighting, distribution and control equipment and parts"
1_facilities_and_construction,Rental of office buildings
1_facilities_and_construction,"Plumbing equipment and fittings, including parts"
1_facilities_and_construction,Office buildings
1_facilities_and_construction,Protection services (security guard services st. Anthony airport)
1_facilities_and_construction,Other buildings
1_facilities_and_construction,"Electric lighting, distribution and control equipment"
1_facilities_and_construction,"Heating, air-conditioning and refrigeration equipment"
1_facilities_and_construction,Other engineering works
1_facilities_and_construction,Industrial buildings
1_facilities_and_construction,"Highways, roads and streets"
1_facilities_and_construction,Waterworks and sewage systems
1_facilities_and_construction,Engineering services not elsewhere specified
1_facilities_and_construction,Residential buildings
1_facilities_and_construction,Services related to the remediation of contaminated sites
1_facilities_and_construction,Rental of residential buildings
1_facilities_and_construction,Rental of other buildings
1_facilities_and_construction,Engineering consultants-other
1_facilities_and_construction,Electric power installations
1_facilities_and_construction,Engineering consultants - other
1_facilities_and_construction,Engineering consultants—other
1_facilities_and_construction,Engineering consultants—construction
1_facilities_and_construction,Architectural services
1_facilities_and_construction,Other institutional buildings
1_facilities_and_construction,Rental of industrial and commercial buildings
1_facilities_and_construction,Other non-residential buildings
1_facilities_and_construction,Other engineering installations
1_facilities_and_construction,Real estate services
1_facilities_and_construction,Engineering consultants-construction
1_facilities_and_construction,Marine installations
1_facilities_and_construction,"Buildings or installations for telecommunications, computer and/or office systems"
1_facilities_and_construction,Engineering services not elsewhere specified (specify)
1_facilities_and_construction,"Roads, highways and airport runways"
1_facilities_and_construction,"Bridges, trestles, culverts, overpasses and viaducts"
1_facilities_and_construction,Engineering consultants - other (specify)
1_facilities_and_construction,"Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems"
1_facilities_and_construction,"Electric lighting, distribution, and control equipment"
1_facilities_and_construction,"Runways, landing fields and tarmac"
1_facilities_and_construction,Services related to the monitoring of previously contaminated sites
1_facilities_and_construction,Laboratories
1_facilities_and_construction,Services related to the care and maintenance of contaminated sites
1_facilities_and_construction,Commercial buildings
1_facilities_and_construction,Other buildings (specify)
1_facilities_and_construction,"Electric lighting, distribution, and control equip"
1_facilities_and_construction,"Heating, air-conditioning, and refrigeration equip"
1_facilities_and_construction,"Electric lighting, distribution and control equipm"
1_facilities_and_construction,Construction services
1_facilities_and_construction,Rental of land
1_facilities_and_construction,Travel for operational support
1_facilities_and_construction,Engineering services
1_facilities_and_construction,"Highways, roads, and streets"
1_facilities_and_construction,"Heating, air-conditioning, and refrigeration equipment"
1_facilities_and_construction,Acquisition of land
1_facilities_and_construction,Engineering consultants
1_facilities_and_construction,0496 - service contracts
1_facilities_and_construction,Services related to the remediation of contamiated sites
1_facilities_and_construction,Schools and other educational buildings
1_facilities_and_construction,"Armouries, barracks, drill halls, ect."
1_facilities_and_construction,Capital lease-tangible capital assets
1_facilities_and_construction,Scientific consultants
1_facilities_and_construction,Other business services not elsewhere specified
1_facilities_and_construction,Bottled water
1_facilities_and_construction,Other vehicles
1_facilities_and_construction,"Heating, air-conditioning and refrigeration equipment maintenance"
1_facilities_and_construction,Contruction at new office in hamilton
