d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,39732.85,40898.19
0_other,2018-2019,361147.76,368068.48
0_other,2019-2020,362137.20,359248.44
0_other,2022-2023,197651.37,175433.85
1_facilities_and_construction,2019-2020,10450.00,10211.48
1_facilities_and_construction,2020-2021,392454.72,376139.45
11_defence,2021-2022,15000.00,13559.76
2_professional_services,2017-2018,1273592.21,1312731.88
2_professional_services,2018-2019,1440055.97,1467080.20
2_professional_services,2019-2020,1611568.74,1592939.66
2_professional_services,2020-2021,1398916.53,1331951.57
2_professional_services,2021-2022,1589980.32,1474580.02
2_professional_services,2022-2023,1905996.99,1702572.02
3_information_technology,2017-2018,9112.69,9394.38
3_information_technology,2018-2019,9112.69,9287.32
3_information_technology,2019-2020,24087.66,23673.53
3_information_technology,2020-2021,9112.69,8678.21
3_information_technology,2021-2022,9112.69,8472.31
3_information_technology,2022-2023,9112.69,8154.08
4_medical,2017-2018,347278.99,358013.75
4_medical,2018-2019,347278.99,353933.94
4_medical,2019-2020,261648.55,260846.97
6_industrial_products_and_services,2017-2018,20860.35,21514.61
6_industrial_products_and_services,2019-2020,23940.00,23393.57
9_human_capital,2020-2021,58178.08,55552.80
9_human_capital,2021-2022,127593.07,118281.43
9_human_capital,2022-2023,130470.79,116963.13
