d_most_recent_category,total,percentage
2_professional_services,46707266.85954099,0.5756454594814273
3_information_technology,23932604.877348,0.29495828502742377
10_office_management,5254149.479079436,0.06475496200974896
9_human_capital,3993206.834903912,0.04921442717244082
8_security_and_protection,924169.8383244681,0.011389965780292565
1_facilities_and_construction,160828.23,0.001982133543252342
5_transportation_and_logistics,118204.28,0.0014568130753163915
6_industrial_products_and_services,24991.08,3.0800350131381e-4
7_travel,17516.67,2.158848553707393e-4
4_medical,6009.601068493151,7.406555341326202e-5
