d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,44232.49,45514.08
1_facilities_and_construction,2018-2019,77986.51,79243.65
1_facilities_and_construction,2019-2020,71615.10,71072.11
1_facilities_and_construction,2020-2021,36535.95,34765.93
1_facilities_and_construction,2021-2022,40570.81,37806.05
10_office_management,2017-2018,948801.33,977007.43
10_office_management,2018-2019,2627458.54,2663211.08
10_office_management,2019-2020,489366.15,484231.19
10_office_management,2020-2021,472249.92,449745.39
10_office_management,2021-2022,1044579.42,957854.02
10_office_management,2022-2023,1355905.49,1205047.59
2_professional_services,2017-2018,10431320.62,10746753.70
2_professional_services,2018-2019,12072929.77,12293940.83
2_professional_services,2019-2020,8021795.01,7956882.26
2_professional_services,2020-2021,7485586.25,7121832.44
2_professional_services,2021-2022,9630970.37,8937652.77
2_professional_services,2022-2023,9358655.81,8354561.86
3_information_technology,2017-2018,5979920.67,6157642.73
3_information_technology,2018-2019,6078923.65,6176502.79
3_information_technology,2019-2020,9696114.27,9593731.55
3_information_technology,2020-2021,13092175.09,12446343.16
3_information_technology,2021-2022,20616362.58,19073782.44
3_information_technology,2022-2023,19533597.96,17422759.84
4_medical,2020-2021,6009.60,5735.36
4_medical,2021-2022,8501.96,7904.49
4_medical,2022-2023,2492.35,2249.92
5_transportation_and_logistics,2017-2018,63052.37,64873.34
5_transportation_and_logistics,2019-2020,3000.49,2932.01
5_transportation_and_logistics,2020-2021,52151.42,49664.87
5_transportation_and_logistics,2022-2023,7734.87,6844.94
6_industrial_products_and_services,2017-2018,24991.08,25704.79
6_industrial_products_and_services,2022-2023,11284.77,10096.06
7_travel,2019-2020,17516.67,17493.54
8_security_and_protection,2017-2018,104915.11,108158.15
8_security_and_protection,2018-2019,283046.08,287585.41
8_security_and_protection,2019-2020,254795.72,252577.88
8_security_and_protection,2020-2021,271893.02,258642.03
8_security_and_protection,2021-2022,128463.99,120084.42
8_security_and_protection,2022-2023,30765.87,27527.28
9_human_capital,2017-2018,935597.03,964040.56
9_human_capital,2018-2019,328411.43,334674.23
9_human_capital,2019-2020,249615.30,247079.26
9_human_capital,2020-2021,160706.63,152537.10
9_human_capital,2021-2022,304654.66,281996.84
9_human_capital,2022-2023,354396.19,316309.01
