d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2020-2021,34492.49,32602.69
1_facilities_and_construction,2017-2018,1023504.78,1049948.98
1_facilities_and_construction,2018-2019,1406245.84,1424761.70
1_facilities_and_construction,2019-2020,671472.97,670132.23
1_facilities_and_construction,2020-2021,829147.56,806506.42
1_facilities_and_construction,2021-2022,840565.82,641877.71
10_office_management,2020-2021,108238.00,107363.01
2_professional_services,2017-2018,1667470.18,1708703.62
2_professional_services,2018-2019,680536.90,688364.52
2_professional_services,2019-2020,156736.89,156696.72
2_professional_services,2020-2021,603076.98,592049.50
2_professional_services,2021-2022,608917.30,340887.78
7_travel,2017-2018,396072.09,403431.91
9_human_capital,2018-2019,39971.06,40439.45
