d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADGA GROUP,2017-2018,45872.20,47278.15
AVI SPL,2017-2018,43565.39,44765.93
CARON PROFESSIONAL LINGUISTIC,2018-2019,11652.50,11906.35
DELL COMPUTER,2017-2018,11529.00,11846.71
ITEX,2018-2019,49195.72,49615.27
MICROSOFT CANADA,2017-2018,18957.02,19538.04
NISHA TECHONOLOGIES,2017-2018,77268.00,79879.41
NISHA TECHONOLOGIES,2018-2019,96705.40,97530.13
NORTHERN MICRO,2018-2019,42627.12,42990.66
QMR,2018-2019,22019.00,22327.75
SOFTCHOICE,2017-2018,382937.49,393628.70
SOFTCHOICE,2018-2019,33222.34,34070.19
TOTEM OFFISOURCE,2018-2019,10760.26,10960.30
