d_most_recent_category,total,percentage
2_professional_services,325269805.22872335,0.3631914235979899
3_information_technology,317235320.35913825,0.3542202373681177
4_medical,102082335.874561,0.11398361696813279
6_industrial_products_and_services,50031755.45932081,0.05586471353404496
9_human_capital,22939490.77274819,0.025613893993353832
7_travel,20253644.51776217,0.02261491803790735
1_facilities_and_construction,18655726.04431376,0.02083070605193108
8_security_and_protection,16430772.981895594,0.018346356575931817
10_office_management,13038040.170890175,0.014558081612474323
5_transportation_and_logistics,9073270.91403624,0.010131079267077504
NA,577629.9389043493,6.44972993038718e-4
