d_most_recent_category,total,percentage
6_industrial_products_and_services,13214937.720686965,0.3662659108295124
2_professional_services,12143983.43,0.33658328522612474
5_transportation_and_logistics,5365149.569699813,0.1487007684346859
3_information_technology,2379905.0139608188,0.06596157288441382
10_office_management,1315003.5111756604,0.03644670666973999
4_medical,525385.034520548,0.014561599325861976
1_facilities_and_construction,487043.21,0.013498915295281936
NA,290291.3525562529,0.008045730437571818
8_security_and_protection,193780.98289389067,0.005370843942000768
11_defence,164693.97708029198,0.004564666954806671
