d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2021-2022,37026.30,34286.64
10_office_management,2018-2019,97205.61,98162.02
11_defence,2017-2018,26644.02,27346.45
4_medical,2017-2018,165948.98,169915.22
4_medical,2020-2021,43168.26,40648.01
4_medical,2021-2022,48279.25,43631.34
6_industrial_products_and_services,2017-2018,1088698.30,1116810.45
6_industrial_products_and_services,2018-2019,997345.82,1011781.73
6_industrial_products_and_services,2019-2020,1323602.84,1301948.73
6_industrial_products_and_services,2020-2021,975462.43,924799.38
6_industrial_products_and_services,2021-2022,959443.11,889385.51
8_security_and_protection,2017-2018,99786.29,102372.08
8_security_and_protection,2018-2019,50303.23,51300.59
