d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,189655.09,194974.17
0_other,2018-2019,186945.33,188949.36
0_other,2019-2020,121296.28,119664.07
0_other,2021-2022,66198.97,60192.78
1_facilities_and_construction,2017-2018,453932.41,467783.91
1_facilities_and_construction,2018-2019,659012.12,668036.07
1_facilities_and_construction,2019-2020,596051.75,589315.93
1_facilities_and_construction,2020-2021,857648.26,817413.44
1_facilities_and_construction,2021-2022,921418.62,860560.77
2_professional_services,2018-2019,149449.63,150724.18
2_professional_services,2020-2021,486.18,461.12
2_professional_services,2021-2022,17745.68,16605.71
3_information_technology,2017-2018,23704.61,24429.12
3_information_technology,2018-2019,73480.93,75177.97
3_information_technology,2019-2020,48153.99,48329.14
3_information_technology,2020-2021,101778.58,96228.15
3_information_technology,2021-2022,58465.73,55461.54
4_medical,2017-2018,1469770.42,1512062.45
4_medical,2018-2019,1789028.77,1810437.79
4_medical,2019-2020,1987937.69,1954695.16
4_medical,2020-2021,1185167.39,1127290.58
4_medical,2021-2022,8810508.21,8203996.91
5_transportation_and_logistics,2017-2018,21630.62,22232.76
6_industrial_products_and_services,2017-2018,1085289.47,1115909.93
6_industrial_products_and_services,2018-2019,3788362.67,3840713.24
6_industrial_products_and_services,2019-2020,3130810.79,3072415.40
6_industrial_products_and_services,2020-2021,1374910.45,1309786.18
6_industrial_products_and_services,2021-2022,1471951.64,1355855.59
9_human_capital,2017-2018,71628.41,73613.15
9_human_capital,2018-2019,34125.00,34892.14
9_human_capital,2019-2020,48246.24,48093.58
