d_most_recent_category,total,percentage
5_transportation_and_logistics,3308059888.62,0.5198292752643937
1_facilities_and_construction,1674926899.12,0.26319838981311805
2_professional_services,605545446.18,0.09515554767028271
6_industrial_products_and_services,302532081.42,0.047539959348806046
3_information_technology,302301098.95,0.047503662712214505
10_office_management,48389477.65,0.007603933406048268
8_security_and_protection,47213733.83,0.007419176758212262
7_travel,36665027.76,0.00576155071249649
9_human_capital,22615108.45,0.0035537432300688327
NA,11475381.06,0.0018032439619121564
4_medical,4018812.64,6.315171224469203e-4
