d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,739403.33,762297.29
1_facilities_and_construction,2018-2019,1061591.64,1080824.47
1_facilities_and_construction,2019-2020,564590.74,557926.92
1_facilities_and_construction,2020-2021,482424.73,462264.46
1_facilities_and_construction,2021-2022,1283905.68,1196764.20
10_office_management,2017-2018,33539.63,34567.91
2_professional_services,2018-2019,1202.32,1212.58
2_professional_services,2019-2020,18335.45,18188.30
2_professional_services,2020-2021,44376.44,42088.47
6_industrial_products_and_services,2019-2020,17644.08,17622.79
