d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,154555.62
1_facilities_and_construction,2019-2020,82448.18
2_professional_services,2017-2018,1154955.02
2_professional_services,2018-2019,1277090.78
2_professional_services,2019-2020,1209484.00
2_professional_services,2020-2021,158456.34
4_medical,2017-2018,10354.00
4_medical,2018-2019,43513.46
4_medical,2019-2020,30697.87
9_human_capital,2018-2019,55370.00
9_human_capital,2019-2020,49886.50
9_human_capital,2020-2021,68307.77
