d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
AIR INDIA,2020-2021,4265666.95,4026704.00
AIR INUIT,2017-2018,1674534.98,1716720.95
AIR INUIT,2018-2019,2151258.69,2184380.98
AIR INUIT,2019-2020,3020231.58,2993315.07
AIR INUIT,2020-2021,3130778.74,2976338.31
AIR INUIT,2021-2022,257324.28,243315.84
AIR TINDI,2018-2019,46560.05,47144.66
AIR TINDI,2020-2021,99975.25,95216.40
AIR TINDI,2021-2022,127513.26,119749.62
AMDOCS,2020-2021,1475402.60,1402621.41
AMDOCS,2021-2022,1475402.60,1369830.17
AMEX BANK OF CANADA,2019-2020,37375.24,36662.99
AMEX BANK OF CANADA,2020-2021,89749.76,85322.43
AON REED STENHOUSE,2017-2018,22380.98,22985.80
AON REED STENHOUSE,2018-2019,47139.98,47739.15
AON REED STENHOUSE,2019-2020,80433.79,79779.25
AON REED STENHOUSE,2020-2021,109625.27,104979.02
ATCO,2018-2019,12873.00,13116.73
ATCO,2021-2022,17102.06,15767.71
BEAVER AIR CHARTER CONSULTANTS,2017-2018,6019850.58,6176170.52
BEAVER AIR CHARTER CONSULTANTS,2018-2019,4741672.44,4811312.18
BEAVER AIR CHARTER CONSULTANTS,2019-2020,6996858.56,6954407.73
BEAVER AIR CHARTER CONSULTANTS,2020-2021,3021835.96,2878516.85
BEAVER AIR CHARTER CONSULTANTS,2021-2022,2069347.48,1905608.60
BOEHM HOTEL,2020-2021,4329721.76,4116137.81
BOEHM HOTEL,2021-2022,2170792.00,2044896.49
BOLLORE LOGISTICS,2017-2018,2001000.00,2052852.46
BOLLORE LOGISTICS,2018-2019,1039526.17,1060105.79
BOYD MOVING STORAGE,2017-2018,431540.00,442722.61
BOYD MOVING STORAGE,2018-2019,2229999.99,2273425.43
BOYD MOVING STORAGE,2019-2020,205612.00,201848.20
BROOKFIELD ASSET MANAGEMENT,2018-2019,50750.00,51540.83
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,154617.87,158555.74
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,64576.64,58325.62
CANADIAN HELICOPTERS,2017-2018,22995.00,23587.44
CANADIAN HELICOPTERS,2018-2019,59498.23,60256.28
CANADIAN HELICOPTERS,2021-2022,179183.19,166926.90
CANADIAN NORTH,2018-2019,434568.46,444007.05
CANADIAN NORTH,2019-2020,453504.12,455116.58
CANADIAN NORTH,2020-2021,175966.16,168360.84
CANADIAN RED CROSS,2019-2020,192255.95,187603.26
CARLETON UNIVERSITY,2018-2019,22604.08,22826.48
CARLETON UNIVERSITY,2019-2020,256179.52,257090.38
CASSELMAN WOODCRAFT,2017-2018,64841.61,66498.86
CASSELMAN WOODCRAFT,2018-2019,11300.00,11437.61
CASSELMAN WOODCRAFT,2019-2020,45200.00,44449.75
CASSELMAN WOODCRAFT,2020-2021,45200.00,43018.82
CHRONO AVIATION,2017-2018,315905.07,324040.04
CHRONO AVIATION,2018-2019,153704.45,156083.56
CHRONO AVIATION,2019-2020,91475.41,91200.67
CHRONO AVIATION,2020-2021,371138.50,353036.85
CHRONO AVIATION,2021-2022,509636.47,476579.53
CUSTOM HELICOPTERS,2017-2018,13455.75,13810.49
CUSTOM HELICOPTERS,2020-2021,99634.00,95652.03
CUSTOM HELICOPTERS,2021-2022,54427.50,50585.31
DELCO AUTOMATION,2020-2021,15191.88,14304.95
DELCO AUTOMATION,2021-2022,5769.07,5455.01
DILLON CONSULTING,2018-2019,29104.61,29493.13
DILLON CONSULTING,2019-2020,170904.26,168359.65
DONNA CONA,2018-2019,76312.32,77063.15
DONNA CONA,2019-2020,129626.40,129903.64
DST CONSULTING ENGINEERS,2017-2018,531444.18,544156.61
DSV,2017-2018,2007862.40,2059892.68
DSV,2018-2019,1003633.51,1023572.49
DSV,2019-2020,35000.00,34704.64
ETHIOPIAN AIRLINES GROUP,2019-2020,2373500.00,2316060.07
ETHIOPIAN AIRLINES GROUP,2020-2021,2791017.90,2640834.26
EXIT CERTIFIED,2021-2022,28529.41,25767.76
EXP SERVICES,2017-2018,396072.09,405590.21
FIRST AIR,2018-2019,165560.46,167996.31
FIRST AIR,2019-2020,74687.86,73187.56
FIRST AIR,2021-2022,79225.42,71556.40
GARTNER,2018-2019,34021.10,34634.65
GENERAL DYNAMICS,2021-2022,94664.00,85756.33
GHD,2017-2018,37575.96,38481.55
GLOBAL KNOWLEDGE,2021-2022,14334.05,12946.51
GREAT SLAVE HELICOPTERS,2017-2018,62455.05,64206.36
GREAT SLAVE HELICOPTERS,2018-2019,158334.75,161441.37
GREAT SLAVE HELICOPTERS,2019-2020,96189.04,95550.70
GREAT SLAVE HELICOPTERS,2020-2021,95914.36,91583.14
GREAT SLAVE HELICOPTERS,2021-2022,69956.20,65266.52
HALPENNY INSURANCE BROKERS,2021-2022,3289.64,2987.63
HEMMERA ENVIROCHEM,2019-2020,216053.42,210824.82
HEMMERA ENVIROCHEM,2020-2021,1433809.09,1363079.69
HEMMERA ENVIROCHEM,2021-2022,1433809.09,1331212.88
HUMAN LOGISTICS,2017-2018,393864.06,405353.26
HUMAN LOGISTICS,2019-2020,1812614.37,1768748.16
IHS GLOBAL,2018-2019,85247.65,86290.44
IHS GLOBAL,2019-2020,56964.55,57056.81
INFO TECH RESEARCH GROUP,2018-2019,61224.19,62003.48
JOHN HOWARD SOCIETY,2017-2018,17036.38,17467.06
JOHN HOWARD SOCIETY,2018-2019,37333.70,37914.30
JOHN HOWARD SOCIETY,2019-2020,37435.99,37120.06
JOHN HOWARD SOCIETY,2020-2021,37333.70,35492.04
JOHN HOWARD SOCIETY,2021-2022,70649.67,65140.10
KENN BOREK AIR,2017-2018,12282.82,12606.64
KENN BOREK AIR,2018-2019,10871.77,11107.90
KENN BOREK AIR,2020-2021,100169.23,96165.87
KENN BOREK AIR,2021-2022,45631.04,42824.14
KPMG,2018-2019,20119.03,20316.98
KPMG,2019-2020,232060.47,229909.45
LANGUAGE RESEARCH DEVELOPMENT GROUP,2021-2022,6437.99,5814.80
LANSDOWNE TECHNOLOGIES,2017-2018,51126.29,52451.14
LANSDOWNE TECHNOLOGIES,2018-2019,51126.29,51921.38
LES AUTOBUS E MENARD ET FILS,2019-2020,888860.30,879672.29
LES AUTOBUS E MENARD ET FILS,2020-2021,601949.70,573499.06
LES AUTOBUS E MENARD ET FILS,2021-2022,472650.07,435194.52
MILLENNIUM LIMOUSINE SERVICE,2019-2020,372328.65,365233.23
MILLENNIUM LIMOUSINE SERVICE,2020-2021,894078.67,849974.02
MILLENNIUM LIMOUSINE SERVICE,2021-2022,894078.67,830102.87
MOMENTUM SOLUTIONS,2017-2018,271095.35,278591.16
MOMENTUM SOLUTIONS,2019-2020,4249820.00,4146972.15
NOLINOR AVIATION,2017-2018,1088736.93,1120176.35
NOLINOR AVIATION,2018-2019,817228.73,831341.58
NOLINOR AVIATION,2019-2020,365918.04,363611.15
NOLINOR AVIATION,2020-2021,878221.00,834389.46
NOLINOR AVIATION,2021-2022,2166071.88,1967196.53
ONTARIO DENTAL ASSOCIATION,2018-2019,17424.00,17802.44
OTTAWA BUSINESS INTERIORS OBI,2019-2020,37481.83,36761.75
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2017-2018,881324.03,902905.84
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2018-2019,2195890.23,2232193.48
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2019-2020,3671741.74,3658539.19
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2020-2021,36296.88,34263.53
PAL AEROSPACE,2017-2018,27017.99,27730.28
PAL AEROSPACE,2021-2022,565229.90,520388.81
PHILIPPINE AIRLINES,2020-2021,2646220.00,2520969.18
PRICEWATERHOUSE COOPERS,2018-2019,0.00,0.00
PROSCI CANADA,2019-2020,2898.59,2828.44
PROSCI CANADA,2020-2021,31744.63,30339.87
QATAR AIRWAYS,2020-2021,6152461.50,5840893.87
RAYMOND CHABOT GRANT THORNTON,2018-2019,52731.92,53324.36
