d_most_recent_category,total,percentage
11_defence,15179542496.82,0.4850770075180564
1_facilities_and_construction,8187085264.26,0.26162625264329314
6_industrial_products_and_services,3635711001.29,0.11618267237478079
2_professional_services,2120633319.05,0.06776689512620776
4_medical,1077287543.73,0.03442576863284672
8_security_and_protection,580108909.10,0.01853794300591109
10_office_management,306136529.33,0.009782889805243259
9_human_capital,198195911.72,0.006333542646459076
NA,8198605.82,2.619944031476492e-4
7_travel,157524.37,5.033844054079483e-6
