d_most_recent_category,total,percentage
2_professional_services,28278573.77,0.4495849089265405
3_information_technology,25480048.63,0.405092754527647
9_human_capital,5714390.53,0.0908498344315848
10_office_management,2732273.18,0.04343885224443579
5_transportation_and_logistics,252658.49,0.004016873120083039
6_industrial_products_and_services,217051.64,0.0034507801774019066
1_facilities_and_construction,141808.67,0.0022545351300719426
4_medical,33900.00,5.389567570828979e-4
8_security_and_protection,29945.00,4.760784687565599e-4
0_other,18645.00,2.964262163955939e-4
