d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ACCESS 2 NETWORKS,2017-2018,177983.13,182485.24
ACCESS 2 NETWORKS,2018-2019,517245.38,525142.10
ACCESS 2 NETWORKS,2019-2020,288884.25,285494.83
ACCESS 2 NETWORKS,2020-2021,98274.69,93053.82
ACCESS 2 NETWORKS,2021-2022,119896.35,110701.18
ADRM TECHNOLOGY CONSULTING,2017-2018,359939.33,369231.41
ADRM TECHNOLOGY CONSULTING,2018-2019,437926.18,444736.58
ADRM TECHNOLOGY CONSULTING,2019-2020,439125.98,435420.21
ADRM TECHNOLOGY CONSULTING,2020-2021,437926.18,416323.41
ADRM TECHNOLOGY CONSULTING,2021-2022,444429.39,412464.07
ADVANCED BUSINESS INTERIORS,2018-2019,29624.21,30044.56
ADVANCED BUSINESS INTERIORS,2019-2020,8164.35,8193.38
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,10262.66,10159.23
AMAZON,2020-2021,29835.62,28209.65
AMAZON,2021-2022,90000.00,83560.05
APPLIED ELECTONICS,2017-2018,24010.97,24576.96
APPLIED ELECTONICS,2018-2019,10401.65,10589.24
ARTEMP PERSONNEL SERVICES,2017-2018,18063.50,18531.59
ARTEMP PERSONNEL SERVICES,2018-2019,18063.50,18344.42
ARTEMP PERSONNEL SERVICES,2019-2020,18112.99,17960.14
ASOKAN BUSINESS INTERIORS,2018-2019,10345.15,10446.94
ASOKAN BUSINESS INTERIORS,2019-2020,24543.05,24064.13
BDO CANADA,2017-2018,11017.50,11277.21
BDO CANADA,2018-2019,76862.06,78036.63
BDO CANADA,2019-2020,411866.70,408671.32
BDO CANADA,2020-2021,335346.06,318848.44
BDO CANADA,2021-2022,234782.44,217982.58
BELL CANADA,2020-2021,28137.00,26713.24
BLACKBERRY,2017-2018,1550.52,1587.07
BLACKBERRY,2018-2019,33596.51,34068.38
BLACKBERRY,2019-2020,154002.95,150518.71
BLACKBERRY,2020-2021,46602.06,44184.62
BLACKBERRY,2021-2022,127279.09,118154.64
BRECKENHILL,2018-2019,24860.00,25104.60
CACHE COMPUTER CONSULTING,2017-2018,24860.00,25446.00
CACHE COMPUTER CONSULTING,2018-2019,124300.00,125799.33
CACHE COMPUTER CONSULTING,2019-2020,39550.00,38802.17
CACHE COMPUTER CONSULTING,2021-2022,39550.00,37283.57
CALYTERA SOFTWARE,2021-2022,8832.56,8150.34
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,58086.61,59591.82
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,60144.93,61080.27
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,137780.18,130947.60
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,133396.76,123851.56
CANSEL SURVEY EQUIPMENT,2018-2019,1252.91,1265.23
CANSEL SURVEY EQUIPMENT,2019-2020,12367.03,12257.94
CANSEL SURVEY EQUIPMENT,2020-2021,13293.27,12651.50
CARAHSOFT TECHNOLOGY,2017-2018,10037.79,10283.72
CDW CANADA,2018-2019,41873.35,42459.67
CGI,2017-2018,24860.00,25504.20
CGI,2018-2019,24860.00,25246.61
CGI,2020-2021,28250.00,26856.44
CGI,2021-2022,24999.00,23210.20
CISION CANADA,2017-2018,21470.00,22026.20
CISION CANADA,2018-2019,34984.80,35528.87
CISION CANADA,2019-2020,11162.48,10928.69
CISION CANADA,2020-2021,44902.73,42687.69
CISION CANADA,2021-2022,44902.73,41689.72
CITRIX,2018-2019,24645.09,24926.79
CITRIX,2020-2021,66507.40,63063.88
CITRIX,2021-2022,58105.07,53947.36
COFOMO,2017-2018,314092.72,322187.25
