d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,643561.60,649789.61
1_facilities_and_construction,2019-2020,7665806.99,7650050.90
1_facilities_and_construction,2020-2021,7577418.81,7418200.08
1_facilities_and_construction,2021-2022,7577418.81,5756113.60
10_office_management,2018-2019,15107.95,15268.23
2_professional_services,2017-2018,12927.20,13372.76
2_professional_services,2018-2019,10767.68,10935.14
4_medical,2017-2018,8455498.56,8682152.61
4_medical,2018-2019,8455498.56,8563403.53
4_medical,2021-2022,11696.49,8429.81
6_industrial_products_and_services,2018-2019,19711.39,19902.15
8_security_and_protection,2017-2018,5932014.26,6088412.40
8_security_and_protection,2018-2019,6850576.40,6939549.68
8_security_and_protection,2019-2020,4688357.60,4676200.18
8_security_and_protection,2020-2021,2965283.72,2806145.45
8_security_and_protection,2021-2022,13449456.52,10258003.90
