d_vendor_name,overall_total
EXPRESS SCRIPTS CANADA,68905387.31
BAYSHORE HEALTHCARE,26372824.25
TRANSWEST AIR,21255961.68
DONNA CONA,15621898.40
ADVANCED PARAMEDIC,13979403.36
MINISTRY OF FINANCE,9961281.20
NORTHERN MICRO,9659089.53
ALS CANADA,7918512.91
MICROSOFT CANADA,7404380.56
BOEHM HOTEL,6500513.76
ORACLE CANADA,6260219.86
EMERGENT BIOSOLUTIONS,5781972.76
AMDOCS,4724417.21
ONTARIO DENTAL ASSOCIATION,4691492.09
IBM CANADA,4534439.93
QMR,4409923.75
MCKESSON CANADA,4381742.75
MTE LOGISTIX EDMONTON,4207390.94
NISHA TECHONOLOGIES,3129040.19
CANADIAN HEALTH CARE AGENCY,3113273.71
ALTIS HUMAN RESOURCES,2729615.68
IRON MOUNTAIN,2547600.73
COLLIERS PROJECT LEADERS,2538251.24
PRO MEDICAL INDUSTRIES,2538161.63
COSSETTE COMMUNICATIONS,2360039.16
KONICA MINOLTA BUSINESS SOLUTIONS,2358265.97
DYNABOOK CANADA,2345664.47
CALIAN,2144687.73
BEST BUY HOUSING,2114330.57
GOVERNMENT OF ALBERTA,1972838.43
ARTEMP PERSONNEL SERVICES,1894788.31
AQUATIC INFORMATICS,1854116.17
BLUE COLLAR SILVICULTURE,1752801.42
CANADIAN CORPS OF COMMISSIONAIRES,1739032.17
CANADIAN BANK NOTE COMPANY,1721673.04
IMPERIAL OIL,1518612.90
FORD MOTOR COMPANY,1517673.52
MATRIX AVIATION SOLUTIONS,1451864.60
SOFTCHOICE,1422724.40
THE RIGHT DOOR,1355923.21
BELL CANADA,1257913.31
TIREE,1243867.53
ERNST YOUNG,1082220.24
FCA CANADA,1020010.53
BDO CANADA,1001294.40
HDP GROUP,961397.23
BAXTER,943641.95
EXCEL HUMAN RESOURCES,920912.01
TOROMONT,903859.89
ADVANCED CHIPPEWA TECHNOLOGIES,897259.77
GENERAL MOTORS,889487.35
PRICEWATERHOUSE COOPERS,867457.05
ESRI,846917.13
SAMSON ASSOCIES,835830.73
BUREAU VERITAS,834876.91
GARTNER,832600.67
CORADIX TECHNOLOGY CONSULTING,830706.24
PURESPIRIT SOLUTIONS,822358.57
EBSCO CANADA,794947.24
CDW CANADA,760835.59
ADVANCED BUSINESS INTERIORS,755841.00
RAYMOND CHABOT GRANT THORNTON,714511.79
IPSS,706383.25
WOOD CANADA,690977.30
GENERAL ELECTRIC CANADA,631078.26
OPENTEXT,624824.74
SUBARU CANADA,620032.61
WAMPUM RECORDS,609820.67
HYPERTEC,564752.09
DELOITTE,505080.69
DMTI SPATIAL,500141.25
RICOH,497482.72
TOSHIBA CANADA,492670.22
