d_most_recent_category,total,percentage
4_medical,177472827.20753765,0.5248029173012903
2_professional_services,61794167.55392876,0.18273084344671547
3_information_technology,37647621.35412405,0.11132736107817807
7_travel,25819941.40854131,0.07635186067050692
5_transportation_and_logistics,16081466.77618108,0.04755432598565803
10_office_management,6785526.861165353,0.020065405776184073
6_industrial_products_and_services,6136534.675926093,0.01814627822590838
9_human_capital,3645255.429815924,0.010779344162014422
1_facilities_and_construction,1790338.8625068783,0.005294191075813196
8_security_and_protection,889200.897025843,0.0026294460519320937
NA,107547.06492287056,3.180262257991265e-4
