d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2018-2019,183343.91,184907.52
11_defence,2019-2020,654799.69,652967.44
2_professional_services,2017-2018,237674.69,244959.24
2_professional_services,2018-2019,575593.84,585098.07
2_professional_services,2019-2020,895730.41,887587.42
2_professional_services,2020-2021,1587237.89,1512797.27
2_professional_services,2021-2022,1428694.10,1333908.94
3_information_technology,2017-2018,356159.34,367075.35
3_information_technology,2018-2019,356159.34,362669.57
3_information_technology,2019-2020,875152.09,868174.41
3_information_technology,2020-2021,865441.09,824884.74
3_information_technology,2021-2022,793067.24,741479.01
4_medical,2021-2022,99666.00,94268.18
9_human_capital,2017-2018,22995.00,23636.26
