d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
4 OFFICE AUTOMATION,2019-2020,236156.71,233961.26
4 OFFICE AUTOMATION,2020-2021,277193.59,263526.23
4 OFFICE AUTOMATION,2021-2022,252773.31,197735.62
ADOBE,2021-2022,93.61,0.00
ADVANCED BUSINESS INTERIORS,2017-2018,32856.59,33631.09
ADVANCED BUSINESS INTERIORS,2018-2019,87304.96,88664.41
ADVANCED BUSINESS INTERIORS,2019-2020,50712.14,50169.44
ADVANCED BUSINESS INTERIORS,2020-2021,83609.27,79048.67
ADVANCED BUSINESS INTERIORS,2021-2022,44310.13,41332.16
BANFIELD SEGUIN,2020-2021,28250.00,26856.44
BANFIELD SEGUIN,2021-2022,25000.00,19556.62
CARAHSOFT TECHNOLOGY,2019-2020,3947.56,3858.36
CARAHSOFT TECHNOLOGY,2020-2021,9944.83,9482.16
CBCI TELECOM,2021-2022,20415.03,7362.23
CISION CANADA,2017-2018,20801.04,21340.06
CISION CANADA,2018-2019,11522.44,11675.00
CISION CANADA,2019-2020,5427.56,5439.51
CSDC SYSTEMS,2017-2018,28729.40,29473.87
CSDC SYSTEMS,2018-2019,28772.04,29219.40
CSDC SYSTEMS,2019-2020,27068.30,26847.00
CSDC SYSTEMS,2020-2021,26455.70,25150.77
CSDC SYSTEMS,2021-2022,26473.73,20709.46
DLS TECHNOLOGY,2018-2019,24720.97,24964.20
DLS TECHNOLOGY,2019-2020,80425.56,80249.70
DLS TECHNOLOGY,2021-2022,67235.00,61736.47
EBSCO CANADA,2017-2018,81573.04,83686.86
EBSCO CANADA,2018-2019,81573.04,82841.62
EBSCO CANADA,2019-2020,81796.53,81106.25
EBSCO CANADA,2020-2021,81573.04,77549.06
EBSCO CANADA,2021-2022,83147.09,63811.70
EKOS RESEARCH ASSOCIATES,2019-2020,4743.65,4628.85
EKOS RESEARCH ASSOCIATES,2020-2021,266658.51,253629.43
EKOS RESEARCH ASSOCIATES,2021-2022,127370.51,106297.32
ENVIRONICS RESEARCH GROUP,2017-2018,88408.22,90507.12
ENVIRONICS RESEARCH GROUP,2018-2019,134634.95,136828.54
ENVIRONICS RESEARCH GROUP,2019-2020,182876.95,181318.08
ENVIRONICS RESEARCH GROUP,2020-2021,101723.34,96553.92
ENVIRONICS RESEARCH GROUP,2021-2022,81536.24,33282.82
FACTIVA,2021-2022,35689.38,27918.54
GARTNER,2021-2022,80501.20,62973.24
GILMORE REPRODUCTIONS,2018-2019,31001.55,31390.81
GILMORE REPRODUCTIONS,2020-2021,67090.36,64249.63
GILMORE REPRODUCTIONS,2021-2022,563447.80,440258.35
IHS GLOBAL,2017-2018,14930.86,15317.77
IHS GLOBAL,2018-2019,16190.08,16436.11
IHS GLOBAL,2019-2020,17926.08,17774.80
IHS GLOBAL,2020-2021,18152.69,17256.49
IHS GLOBAL,2021-2022,18073.67,14233.13
INFO TECH RESEARCH GROUP,2021-2022,1215.99,0.00
KONICA MINOLTA BUSINESS SOLUTIONS,2017-2018,363484.81,372903.89
KONICA MINOLTA BUSINESS SOLUTIONS,2018-2019,185080.13,188732.50
KONICA MINOLTA BUSINESS SOLUTIONS,2019-2020,702.15,704.64
LANNICK CONTRACT SOLUTIONS,2017-2018,9642.69,9896.91
LEO PISCES SERVICES GROUP,2017-2018,237923.52,244088.90
MAPLESOFT CONSULTING,2017-2018,70127.15,71938.04
MAPLESOFT CONSULTING,2018-2019,84198.72,85508.14
MAPLESOFT CONSULTING,2019-2020,84429.40,83716.91
MAPLESOFT CONSULTING,2020-2021,84198.72,80045.22
MCCARTHY TETRAULT,2018-2019,3687.77,3724.05
MCCARTHY TETRAULT,2019-2020,15804.73,15860.92
MEDIA Q,2017-2018,70137.40,71950.29
MEDIA Q,2018-2019,73450.00,74592.26
MEDIA Q,2019-2020,74036.95,73408.06
MEDIA Q,2020-2021,74460.53,70787.17
MEDIA Q,2021-2022,67100.33,54159.20
MICHAEL WAGER CONSULTING,2017-2018,129156.86,132503.74
MICHAEL WAGER CONSULTING,2018-2019,129156.86,131165.44
MICHAEL WAGER CONSULTING,2019-2020,116939.02,115952.17
MICHAEL WAGER CONSULTING,2020-2021,116619.51,110866.71
MICHAEL WAGER CONSULTING,2021-2022,41766.89,33037.98
NITAM SOLUTIONS,2021-2022,129006.45,119717.20
NOVA NETWORKS,2019-2020,18550.22,18517.42
ONX ENTERPRISE SOLUTIONS,2018-2019,23984.25,24326.58
OPROMA,2019-2020,77328.16,76337.62
ORANGUTECH,2017-2018,48610.81,49870.47
ORANGUTECH,2018-2019,67658.75,68710.94
ORANGUTECH,2019-2020,71303.00,70701.28
ORANGUTECH,2020-2021,81400.56,77332.04
ORANGUTECH,2021-2022,85134.20,66597.47
PHASELOCK SYSTEMS INTERNATIONAL,2021-2022,15026.18,14208.17
PRECISIONIT,2017-2018,219285.92,224968.33
PRECISIONIT,2018-2019,36647.78,37443.75
PRECISIONIT,2020-2021,45175.79,42947.28
PRECISIONIT,2021-2022,45175.79,35339.42
PROQUEST,2017-2018,20223.91,20759.58
PROQUEST,2018-2019,9506.53,9678.02
QUINTET CONSULTING,2020-2021,19703.19,18602.66
QUINTET CONSULTING,2021-2022,50272.06,47515.95
RHEA,2018-2019,24069.00,24401.13
SAS INSTITUTE,2017-2018,495878.27,508732.05
SAS INSTITUTE,2018-2019,494302.47,501978.60
SAS INSTITUTE,2019-2020,489209.58,485296.41
SAS INSTITUTE,2020-2021,344419.28,327752.61
SAS INSTITUTE,2021-2022,197616.46,154310.78
SHI CANADA,2018-2019,9403.34,9527.32
SHI CANADA,2019-2020,4003.77,4014.48
STONEWORKS TECHNOLOGIES,2017-2018,18456.06,18891.11
SYSTEMSCOPE,2017-2018,75948.50,77782.38
SYSTEMSCOPE,2018-2019,270848.50,275060.60
THE MATHWORKS,2017-2018,9769.42,10005.58
THE MATHWORKS,2018-2019,13979.93,14235.26
THOMAS SCHMIDT,2018-2019,14280.21,14435.14
TOTEM OFFISOURCE,2019-2020,11226.55,11098.75
UNIVERSITY OF CALGARY,2021-2022,2918.76,0.00
UNIVERSITY OF OTTAWA,2017-2018,16950.00,17391.38
