d_most_recent_category,total,percentage
2_professional_services,55226269.50318979,0.45437856550631567
3_information_technology,35108517.763899386,0.28885814816248284
6_industrial_products_and_services,14092065.842612116,0.11594360293006586
10_office_management,7199143.2693571085,0.059231529144223555
8_security_and_protection,3985980.8924693386,0.03279497775874927
9_human_capital,1991472.9103254767,0.01638500323086485
1_facilities_and_construction,1896335.5818336278,0.015602253223755778
5_transportation_and_logistics,1026754.578046295,0.008447705711369324
7_travel,1009836.8262921766,0.008308513550776542
NA,6040.753143483022,4.970078139634341e-5
