d_vendor_name,overall_total
CACHE COMPUTER CONSULTING,19810762.65
SYSTEMATIX SOLUTIONS,10383663.02
RACING FORENSICS,7941487.64
ORACLE CANADA,6522083.67
WINTERSTEIGER,6490036.68
APPTION,5889751.34
SYSTEMSCOPE,5457653.27
THE HALIFAX GROUP,4763893.42
SERVICE STAR BUILDING CLEANING,3559139.72
SAP,3512447.01
GC STRATEGIES,3317044.13
IT NET CONSULTANTS,3310448.29
TRANSPOLAR TECHNOLOGY,2998453.88
GENERAL MOTORS,2996377.53
EAGLE PROFESSIONAL RESOURCES,2966250.03
GARTNER,2922337.18
MNP,2791567.86
ORANGUTECH,2714256.55
"NAVPOINT CONSULTING GROUP",2397408.00
UNIVERSITY OF GUELPH,2213489.65
CGI,2203425.00
WATERS,2047408.71
HOSKIN SCIENTIFIC,1992886.99
JOHN WILEY SONS,1943460.85
FCA CANADA,1725125.29
HITACHI DATA SYSTEMS,1449107.50
IRVING OIL,1416969.70
KYNDRYL CANADA,1369788.17
PEPCO,1268069.79
EBSCO CANADA,1227602.62
GDI SERVICES,1053513.55
SAS INSTITUTE,1048084.98
STERIS CANADA,938315.69
SYSTEMS FOR RESEARCH,853247.84
AINSWORTH,820773.18
IMPERIAL CLEANERS,793419.62
D F S,761599.41
THE KTL GROUP,721950.00
J P GRAVEL CONSTRUCTION,685946.64
FERENCE COMPANY CONSULTING,669412.00
TELECOM COMPUTER SERVICES,660146.99
MITSUBISHI MOTOR SALES,646435.83
GETINGE CANADA,597812.83
MICHANIE CONSTRUCTION,578076.37
WILLS TRANSFER,564990.92
ENVIROSAFE JANITORIAL,543953.82
CAREWORX,495603.84
BECKMAN COULTER CANADA,478170.27
CARAHSOFT TECHNOLOGY,463141.36
WASTE CONNECTIONS OF CANADA,408514.28
STONEWORKS TECHNOLOGIES,381378.40
DEFRAN,380080.39
LARRY PENNER ENTERPRISES,376629.81
GLOBAL UPHOLSTERY,348826.89
KONTZAMANIS GRAUMANN SMITH,347818.97
UNIVERSITY OF SASKATCHEWAN,324176.82
INFO TECH RESEARCH GROUP,321054.59
FACTIVA,320819.45
KUBOTA CANADA,311083.54
CAMPBELL SCIENTIFIC CANADA,290390.26
ADVANCED BUSINESS INTERIORS,285184.58
SCHOELER HEATON ARCHITECTS,276469.20
MARITIME FUELS,264834.08
GLASSHOUSE SYSTEMS,264803.27
POLARIS INDUSTRIES,259990.81
DALIAN ENTERPRISES,236999.44
FIA GROUP,227032.48
RUSH TRUCK CENTRES OF CANADA,213398.55
HOULE ELECTRIC,212131.91
PURESPIRIT SOLUTIONS,211788.34
VMWARE,210506.79
ESBE SCIENTIFIC INDUSTRIES,203933.52
IFATHOM,187223.62
NITAM SOLUTIONS,187146.27
CEDROM SNI,179110.08
ARCHITECTURE 49,167178.98
EKOS RESEARCH ASSOCIATES,165699.77
INTERACTIVE AUDIO VISUAL,165657.67
SUNCOR ENERGY,164428.41
CAN AM PLATFORMS CONSTRUCTION,164090.85
PROTAK CONSULTING GROUP,163567.50
UNIVERSITY OF WESTERN ONTARIO,162867.60
OTIS ELEVATOR,159862.76
NISSAN CANADA,150290.44
EVRIPOS JANITORIAL SERVICES,148373.78
STERLING FUELS,137232.95
CARMICHAEL ENGINEERING,120635.00
GENERAL ELECTRIC CANADA,119467.45
HITRAC,114537.15
HEWLETT PACKARD,114125.90
NOVA NETWORKS,113222.49
DALHOUSIE UNIVERSITY,111204.27
CISION CANADA,110175.64
PURELOGIC,109858.83
NORTH ATLANTIC PETROLEUM,109324.78
CANSEL SURVEY EQUIPMENT,103913.26
BRUKER,99536.69
PRECISIONIT,99440.00
PATTISON SIGN GROUP,97485.13
TROY LIFE FIRE SAFETY,97078.26
BRANDT TRACTOR,94957.98
CNW GROUP,90965.00
FORRESTER RESEARCH,90641.69
JOHNSON CONTROLS CANADA,86381.26
UNIVERSITY OF WATERLOO,81360.00
CSDC SYSTEMS,80556.58
QUINTET CONSULTING,73167.50
INSA,71037.00
GLOBAL KNOWLEDGE,66454.50
SDL INTERNATIONAL CANADA,64800.21
UNIVERSITY OF OTTAWA,63685.31
ENVIRONICS RESEARCH GROUP,61611.39
UNIVERSITY OF REGINA,60294.00
MACDONALD DETTWILER AND ASSOCIATES,58584.94
PHASELOCK SYSTEMS INTERNATIONAL,56932.87
APRON FUEL SERVICES,56350.00
ECLIPSYS SOLUTIONS,54730.54
DLS TECHNOLOGY,52117.86
DYNABOOK CANADA,51609.36
UNIVERSITY OF TORONTO,49425.00
THE MATHWORKS,49406.16
THE HALIFAX COMPUTER CONSULTING GROUP,49296.25
ASOKAN BUSINESS INTERIORS,46650.46
GLOBAL TOTAL OFFICE,42580.02
PANASONIC,41252.07
CARLETON ELECTRIC,40318.40
KIA CANADA,38835.20
UNIVERSITY OF BRITISH COLUMBIA,38735.25
MINISTRY OF FINANCE,38525.00
CUMMINS CANADA,38225.00
WASTE MANAGEMENT OF CANADA,36410.81
TENAQUIP,36366.48
GAP WIRELESS,36162.74
SHI CANADA,35963.52
CBCI TELECOM,34824.31
CLOSEREACH,33357.60
ITEX,33278.50
EUROVIA QUEBEC CONSTRUCTION,30830.83
PROSCI CANADA,30430.90
GAMBLE TECHNOLOGIES,29694.91
IPSOS,24998.99
NORTRAX CANADA,24955.00
ACOSYS CONSULTING SERVICES,24950.40
LINOVATI,24408.00
PROMAXIS,24001.20
ADOBE,23871.26
CONVERGINT TECHNOLOGIES,23648.13
TOTEM OFFISOURCE,21296.93
AB SCIEX,20731.08
BERVIN CONSTRUCTION,20317.50
ASBEX,20126.43
CHARRON HUMAN RESOURCES,17402.00
GILMORE REPRODUCTIONS,15611.46
LES INSTALLATIONS ELECTRIQUES,15554.26
FAST TRACK STAFFING,14690.00
UNIVERSITY OF NEW BRUNSWICK,13800.00
GLOBAL LIFE SCIENCES SOLUTIONS,12943.57
TERVITA,12603.10
FLYNN CANADA,11558.40
WESTBURY NATIONAL SHOW SYSTEMS,11353.68
VALARD CONSTRUCTION,10500.00
DECISIVE GROUP,10197.35
HAWORTH,10016.00
