d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
3M CANADA COMPANY,2020-2021,13650.00,12871.90
AB SCIEX,2019-2020,20731.08,20713.55
ACOSYS CONSULTING SERVICES,2020-2021,24950.40,23493.75
ADGA GROUP,2017-2018,1635177.68,1677238.90
ADGA GROUP,2018-2019,677591.47,688116.08
ADOBE,2019-2020,23871.26,23293.56
ADVANCED BUSINESS INTERIORS,2017-2018,20317.40,20802.95
ADVANCED BUSINESS INTERIORS,2018-2019,18090.39,18268.39
ADVANCED BUSINESS INTERIORS,2019-2020,210289.09,205287.31
ADVANCED BUSINESS INTERIORS,2021-2022,36487.70,33815.06
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,67974.97,69736.43
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,135799.84,137700.27
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,128484.19,127308.19
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,80360.09,76395.95
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,131609.24,122530.42
AGILENT,2017-2018,819303.41,839874.82
AGILENT,2018-2019,423422.04,428710.14
AGILENT,2019-2020,866535.08,852744.67
AGILENT,2020-2021,344887.24,325798.35
AGILENT,2021-2022,288395.78,265833.89
AINSWORTH,2018-2019,24751.13,25061.91
AINSWORTH,2019-2020,242716.78,237550.40
AINSWORTH,2020-2021,462187.87,437661.65
AINSWORTH,2021-2022,91117.40,85482.74
AIR LIQUIDE CANADA,2020-2021,13388.48,12715.06
AIR LIQUIDE CANADA,2021-2022,22167.29,20581.11
ALCAIDE WEBSTER ARCHITECTS,2017-2018,222117.32,227391.29
ALIVAKTUK CONSULTING,2020-2021,75933.60,71500.44
ALIVAKTUK CONSULTING,2021-2022,1205033.20,1118807.05
ALLSEATING,2017-2018,55026.48,56349.59
ALLSEATING,2019-2020,21598.74,21222.95
ALS CANADA,2017-2018,29493.00,30188.21
ALS CANADA,2018-2019,22594.35,22840.46
ALS CANADA,2019-2020,39643.79,39050.00
ALS CANADA,2020-2021,17759.65,16910.78
ALS CANADA,2021-2022,15007.66,13644.97
ALTIS HUMAN RESOURCES,2017-2018,204712.92,210017.70
ALTIS HUMAN RESOURCES,2018-2019,204712.92,207896.50
ALTIS HUMAN RESOURCES,2019-2020,287679.25,284382.65
ALTIS HUMAN RESOURCES,2020-2021,311509.56,296097.71
ALTIS HUMAN RESOURCES,2021-2022,347876.31,322984.02
AMERICAN CHEMICAL SOCIETY,2017-2018,78653.88,80580.97
AMS IMAGING,2018-2019,44142.29,44608.27
AMS IMAGING,2020-2021,50190.70,47561.79
AMS IMAGING,2021-2022,46577.88,42382.84
APPLIED ELECTONICS,2017-2018,4541.14,4648.19
APPLIED ELECTONICS,2018-2019,10874.84,11111.03
APPTION,2017-2018,1194116.77,1225154.53
APPTION,2018-2019,1145481.57,1163295.50
APPTION,2019-2020,1239952.50,1225455.33
APPTION,2020-2021,1155100.25,1098119.48
APPTION,2021-2022,1155100.25,1072447.05
APRON FUEL SERVICES,2018-2019,24150.00,24509.00
APRON FUEL SERVICES,2019-2020,32200.00,31928.26
AQUATIC INFORMATICS,2017-2018,13196.23,13548.30
AQUATIC INFORMATICS,2019-2020,17771.96,17341.87
AQUATIC INFORMATICS,2020-2021,101355.71,96355.86
AQUATIC INFORMATICS,2021-2022,69883.27,65485.95
ARCHITECTURE 49,2018-2019,33289.47,33618.00
ARCHITECTURE 49,2019-2020,133889.51,132759.62
ARI FINANCIAL SERVICES,2017-2018,323751.71,331958.30
ARI FINANCIAL SERVICES,2018-2019,459116.16,466892.85
ARI FINANCIAL SERVICES,2019-2020,355205.92,353472.62
ARI FINANCIAL SERVICES,2020-2021,456276.08,434460.78
ARI FINANCIAL SERVICES,2021-2022,546223.87,506958.29
ARMSERV CONTRACTING,2021-2022,2288.93,2098.06
ASBEX,2018-2019,20126.43,20379.14
ASOKAN BUSINESS INTERIORS,2021-2022,46650.46,43206.21
ATCO,2018-2019,38543.17,39238.27
AVI SPL,2019-2020,276219.29,269534.64
AVI SPL,2020-2021,60697.01,57296.76
AVI SPL,2021-2022,19850.82,18665.85
BAHLER BIOGAZ,2020-2021,22793.79,21696.43
BDO CANADA,2017-2018,422809.13,433527.40
BDO CANADA,2018-2019,198179.08,200789.23
BDO CANADA,2019-2020,141674.70,141567.76
BDO CANADA,2020-2021,146874.75,139432.16
BDO CANADA,2021-2022,84641.25,79405.13
BECKMAN COULTER CANADA,2017-2018,81758.70,83847.97
BECKMAN COULTER CANADA,2018-2019,153278.82,154982.70
BECKMAN COULTER CANADA,2019-2020,144601.08,142033.11
BECKMAN COULTER CANADA,2020-2021,64705.25,61165.88
BECKMAN COULTER CANADA,2021-2022,33826.41,31184.02
BEE CLEAN BUILDING MAINTENANCE,2017-2018,132251.11,135678.17
BEE CLEAN BUILDING MAINTENANCE,2018-2019,132251.11,134307.81
BEE CLEAN BUILDING MAINTENANCE,2019-2020,132613.44,131494.32
BEE CLEAN BUILDING MAINTENANCE,2020-2021,88408.96,84274.34
BELL CANADA,2017-2018,340322.10,349140.15
BELL CANADA,2018-2019,946549.53,959136.16
BELL CANADA,2019-2020,1431561.35,1419295.40
BELL CANADA,2020-2021,1645619.52,1563740.82
BELL CANADA,2021-2022,1792929.61,1665997.05
BERLITZ CANADA,2019-2020,10897.50,10654.66
BERLITZ CANADA,2020-2021,29568.14,28116.69
BERLITZ CANADA,2021-2022,28209.46,26600.55
BERVIN CONSTRUCTION,2021-2022,20317.50,18863.95
BEVA GLOBAL MANAGEMENT,2020-2021,189630.39,180422.64
BEVA GLOBAL MANAGEMENT,2021-2022,136854.86,126450.88
BIO CHAMBERS,2017-2018,93345.00,95545.34
BIO CHAMBERS,2018-2019,346284.00,350800.19
BIO CHAMBERS,2019-2020,148242.46,146126.77
BIO CHAMBERS,2020-2021,61487.92,58454.74
BIO CHAMBERS,2021-2022,1973366.97,1806255.27
BIO RAD LABORATORIES CANADA,2017-2018,441766.00,452319.77
BIO RAD LABORATORIES CANADA,2018-2019,685393.03,692677.75
BIO RAD LABORATORIES CANADA,2019-2020,445398.42,434957.64
BIO RAD LABORATORIES CANADA,2020-2021,85640.65,80760.25
BIO RAD LABORATORIES CANADA,2021-2022,234584.28,212982.11
BIOMERIEUX CANADA,2017-2018,24994.41,25583.58
BIOMERIEUX CANADA,2018-2019,35564.15,35930.47
BLACK MCDONALD,2017-2018,13288.20,13613.77
BLACK MCDONALD,2019-2020,61240.20,60774.76
BLACK MCDONALD,2020-2021,556676.53,527961.21
BLACK MCDONALD,2021-2022,45543.65,41938.20
BLUEWAVE ENERGY,2017-2018,180536.31,185352.49
BLUEWAVE ENERGY,2018-2019,94474.97,95969.45
BLUEWAVE ENERGY,2019-2020,19366.03,19393.10
BLUEWAVE ENERGY,2021-2022,111562.98,103513.37
BLUMETRIC ENVIRONMENTAL,2017-2018,23908.50,24499.51
BLUMETRIC ENVIRONMENTAL,2018-2019,27086.10,27447.05
BLUMETRIC ENVIRONMENTAL,2021-2022,18475.50,17034.17
BOUTHILLETTE PARIZEAU,2019-2020,47024.78,45886.75
BOUTHILLETTE PARIZEAU,2020-2021,22535.10,21272.69
BRANDT TRACTOR,2017-2018,17272.50,17727.87
BRANDT TRACTOR,2018-2019,10563.18,10667.11
BRANDT TRACTOR,2021-2022,67122.30,60960.02
BRECKENHILL,2017-2018,24577.50,25167.29
BRUKER,2018-2019,6411.53,6489.06
BRUKER,2019-2020,47308.56,46945.99
BRUKER,2020-2021,20972.51,19829.64
BRUKER,2021-2022,24710.63,22408.82
BUILDON CONSTRUCTION,2017-2018,124806.52,127928.57
BUILDON CONSTRUCTION,2018-2019,102435.00,103661.10
BUILDON CONSTRUCTION,2019-2020,85569.56,84558.11
BUILDON CONSTRUCTION,2020-2021,493600.53,466400.65
BUILDON CONSTRUCTION,2021-2022,381359.24,354160.32
BUREAU VERITAS,2017-2018,3149054.74,3230657.05
BUREAU VERITAS,2018-2019,3149054.74,3198027.20
BUREAU VERITAS,2019-2020,3157682.28,3131034.68
BUREAU VERITAS,2020-2021,2685249.70,2552678.26
BUREAU VERITAS,2021-2022,2673226.50,2481943.78
CACHE COMPUTER CONSULTING,2017-2018,3815264.83,3913669.76
CACHE COMPUTER CONSULTING,2018-2019,5186224.05,5263243.52
CACHE COMPUTER CONSULTING,2019-2020,3659434.49,3628552.61
CACHE COMPUTER CONSULTING,2020-2021,2544148.44,2413824.97
CACHE COMPUTER CONSULTING,2021-2022,4605690.84,4276130.63
CAHILL,2017-2018,37785.55,38781.71
CALIAN,2017-2018,274116.30,281202.63
CALIAN,2018-2019,311689.88,316537.11
CALIAN,2019-2020,312543.82,309906.27
CALIAN,2021-2022,5804.34,5242.48
CALYTERA SOFTWARE,2020-2021,17579.07,16736.44
CALYTERA SOFTWARE,2021-2022,21968.34,20384.41
CAMPBELL SCIENTIFIC CANADA,2017-2018,31918.30,32670.68
CAMPBELL SCIENTIFIC CANADA,2018-2019,85673.51,86584.31
CAMPBELL SCIENTIFIC CANADA,2019-2020,91445.72,89765.27
CAMPBELL SCIENTIFIC CANADA,2020-2021,35211.69,33391.89
CAMPBELL SCIENTIFIC CANADA,2021-2022,46141.04,42324.72
CAN AM PLATFORMS CONSTRUCTION,2019-2020,164090.85,162617.36
CANADA POST,2017-2018,33493.04,34360.05
CANADA POST,2018-2019,42380.38,43039.22
CANADA POST,2019-2020,31915.09,31634.79
CANADA POST,2020-2021,24414.11,23210.06
CANADA POST,2021-2022,12637.12,11732.54
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,5706939.76,5854732.26
