d_vendor_name,mean_years,n
10647802 CANADA,1.22,16
11983890 CANADA CENTRE,1,1
1320376 ONTARIO,0.81,7
1X1 ARCHITECTURE,1.56,52
2220742 ONTARIO,0.76,28
2536 4589 QUEBEC,5.02,1
2KEYS,2.34,15
3469051 CANADA,0.78,74
3D DATACOMM,0.2,109
3M CANADA COMPANY,1.39,16
4 OFFICE AUTOMATION,2.6,189
4083261 CANADA,1.14,9
49 SOLUTIONS,0.95,16
529040 ONTARIO AND 880382,1.01,23
6834973 CANADA,6.87,1
727619 ALBERTA O A ROUGHRIDER,3.08,1
7305516 CANADA,1.45,7
736902 ONTARIO,1.3,7
73719 NEWFOUNDLAND LABRADOR,1.12,10
851791 NWT,1.33,4
9006 9311 QUEBEC,2.87,5
9090 5092 QUEBEC,1.33,3
9099 3593 QUEBEC INTER PROJE,2.28,2
9168516 CANADA,0.28,7
9275 0181 QUEBEC,0.35,43
A C L CONSTRUCTION,0.42,2
A SANTIN MASON CONTRACTOR,4.83,1
AB SCIEX,0.92,83
ABB,0.85,73
ABBOTT,0.42,58
ABCO INDUSTRIES,1.96,2
ABCO MAINTENANCE SYSTEMS,3.35,3
ABS AMERICAS,0.38,1
ACADIAN DREDGING,0.42,71
ACART COMMUNICATIONS,0.72,22
ACCENTURE,0.6,99
ACCESS 2 NETWORKS,1.07,84
ACKLANDS GRAINGER,0.27,145
ACME FUTURE SECURITY CONTROLS,0.81,58
ACOSYS CONSULTING SERVICES,0.86,64
ACT,0.61,93
ACTION PERSONNEL OF OTTAWA HULL,1.01,33
ADAPT PHARMA CANADA,0.09,87
ADGA GROUP,1.48,122
ADOBE,0.98,28
ADP CANADA,7.01,1
ADPEARL,1.47,2
ADRM TECHNOLOGY CONSULTING,1.29,224
ADVANCED BUSINESS INTERIORS,0.4,875
ADVANCED CHIPPEWA TECHNOLOGIES,0.76,562
ADVANCED PARAMEDIC,1.53,4
AECOM,1.66,285
AEG FUELS,1.9,1
AERO FEU,0.22,7
AERO SUPPLIES,0.05,352
AEROPORTS DE MONTREAL,0.25,1
AEROPRO,3.67,7
AFC INDUSTRIES,0.99,3
AFN ENGINEERING,0.34,284
AGILEC,1.7,13
AGILENT,0.69,494
AGRITEAM CANADA,4.39,15
AIM HEALTH GROUP,2.25,10
AINSWORTH,0.93,137
AIR INUIT,0.24,66
AIR LIQUIDE CANADA,0.7,218
AIR TINDI,0.29,143
AIRBOSS DEFENSE,0.14,4
AIRBUS,0.3,135
ALBERTA SEVENTH STEP SOCIETY,3.5,2
ALCAIDE WEBSTER ARCHITECTS,1.2,26
ALINEA INTERNATIONAL,3.62,11
ALLEN HASTINGS,1.33,4
ALLIANCE ENERGY,0.77,15
ALLIANCE ENGINEERING CONSTRUCTION,0.52,7
ALLIED PAVING,1.9,1
ALLIED SHIPBUILDERS,0.44,17
ALPINE AEROTECH,0.05,138
ALPINE HELICOPTERS,0.29,246
ALS CANADA,0.78,116
ALTIS HUMAN RESOURCES,0.82,864
ALVA CONSTRUCTION,1.3,10
AMAZON,1.2,67
AMD MEDICOM,6.1,2
AMDOCS,1.92,3
AMEC FOSTER WHEELER AMERICAS,0.95,136
AMER SPORTS CANADA,0.02,1
AMERESCO CANADA,7.63,17
AMERICAN BUREAU OF SHIPPING,0.62,74
AMEX BANK OF CANADA,5.98,2
AMTEK ENGINEERING,1.95,2
ANCHOR QEA,1.15,3
ANIXTER,0.3,87
ANSYS CANADA,0.65,107
AON REED STENHOUSE,1.22,111
APOTEX,1.89,3
APPAREL TRIMMINGS,2.73,18
APPLIED ELECTONICS,0.41,303
APPTION,2.03,13
APRON FUEL SERVICES,0.16,63
APS AVIATION,1.31,7
AQUA GUARD SPILL RESPONSE,0.99,4
AQUA LUNG CANADA,0.11,7
ARCADIS CANADA,0.94,199
ARCHITECTURE 49,1.79,101
ARCHITECTURE EVOQ,3.31,31
ARCTIC CANADA CONSTRUCTION,0.89,5
ARDENT GLOBAL,0.13,2
ARI FINANCIAL SERVICES,0.87,555
ARISGLOBAL,2.48,4
ARTEMP PERSONNEL SERVICES,1.03,190
ARTEX SPORTSWEAR,2.51,14
ARUP CANADA,6.87,1
ASBEX,0.67,82
ASC GERMANY,0.25,6
ASOKAN BUSINESS INTERIORS,0.42,308
ASSOCIATED ENGINEERING,2.18,75
ATCO,0.6,258
ATLANTIC BUSINESS INTERIORS,0.24,153
ATLANTIC ROAD CONSTRUCTION AND PAVING,0.77,5
ATLANTIC ROOFERS,0.15,2
ATLANTIC TOWING,0.99,5
ATLANTICA MECHANICAL CONTRACTORS,0.73,19
ATS SERVICES,2.72,22
ATWILL MORIN,1.59,10
AV NUNAVUT FUELS,1,1
AV TECH,0.54,129
AVI SPL CANADA,0.31,557
AVJET HOLDING,0.11,44
AVMAX AVIATION SERVICES,0.06,38
AVONDALE CONSTRUCTION,1.05,18
AXYS TECHNOLOGIES,0.61,60
AZIMUTH CONSULTING GROUP,1.08,9
B BRAUN OF CANADA,1,1
B L ASSOCIATES,1.76,5
B R ENTERPRISES,0.55,15
B T L CONSTRUCTION,1.39,1
BAE SYSTEMS,0.98,2
BAJA CONSTRUCTION CANADA,0.8,10
BALODIS,0.42,10
BANCTEC CANADA,1.72,18
BANFIELD SEGUIN,0.96,35
BARGREEN ELLINGSON,0.29,189
BARR ENGINEERING AND ENVIRONMENTAL,0.87,13
BARRIE MACKAY CONTRACTING,3.44,2
BAUER HOCKEY,1,1
BAVARIAN NORDIC,4.61,1
BAXTER,1.01,9
BAY CONSTRUCTION MANAGEMENT,1.35,6
BAYSHORE HEALTHCARE,0.95,123
BC HYDRO,1.08,29
BDO CANADA,0.99,316
BEAUDOIN CANADA,4.07,2
BEAVER AIR CHARTER CONSULTANTS,0.02,285
BECKMAN COULTER CANADA,0.68,116
BELL AND HOWELL CANADA,2.51,7
BELL CANADA,2.36,921
BELL TEXTRON,0.07,276
BERGEVIN ELECTRICAL CONTRACTING,0.65,2
BERVIN CONSTRUCTION,1.27,8
BEST SERVICE PROS,2.65,2
BGLA,1.95,14
BIGHORN CONSTRUCTION,0.85,7
BIGHORN HELICOPTERS,0.32,96
BIO NUCLEAR DIAGNOSTICS,0.99,19
BIOMERIEUX CANADA,1.15,36
BIRD CONSTRUCTION COMPANY,1.89,5
BIRON GROUPE SANTE,0.38,1
BISSON FORTIN ARCHITECTURE,2.05,18
BLACK MCDONALD,1.23,139
BLACKBERRY,1.03,58
BLUEDOT,1.01,7
BLUEWAVE ENERGY,0.88,75
BLUMETRIC ENVIRONMENTAL,0.67,141
BMC SOFTWARE,3.17,7
BMC SOFTWARE CANADA,1.56,38
BMT FLEET TECHNOLOGY,0.55,24
BOEHM HOTEL,1.5,1
BOLESS,1.57,6
BOLLORE LOGISTICS,0.19,178
BOMBARDIER,0.1,177
BOMIMED,1.65,2
BOUTHILLETTE PARIZEAU,1.33,112
BOYD MOVING STORAGE,0.16,92
BRAGG COMMUNICATIONS,8.4,2
BRANDT TRACTOR,0.25,32
BRAWN CONSTRUCTION,0.59,13
BRETON MICHEL MD,3.71,10
BRIDGES OF CANADA,1.26,14
BRIQUETAL,1.71,5
BRITTON ELECTRIQUE,2.45,2
BROADNET TELECOM,0.5,45
BROADWATER INDUSTRIES,0.34,22
BRONSWERK MARINE,0.64,9
BRONTE CONSTRUCTION,1.15,1
BROOK CONSTRUCTION,0.62,6
BROOKFIELD ASSET MANAGEMENT,1.38,13
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,0.59,360
BRS INNOVATIONS,1.53,11
BRUKER,0.71,83
BUDGELL S EQUIPMENT RENTALS,2.02,2
BUREAU NATHALIE,2.31,6
BUREAU VERITAS,0.59,342
BUTTCON,2.38,6
C CORE,0.67,15
C2D SERVICES,8.71,1
CA,1.94,17
CACHE COMPUTER CONSULTING,1.93,214
CADEX,0.19,2
CAE,1.05,30
CALIAN,1.12,557
CALKO GROUP,1.35,2
CALTRIO COMPANY,2.59,16
CAMPBELL DRUG STORES,1.01,1
CAMPBELL SCIENTIFIC CANADA,0.42,133
CAN AM PLATFORMS CONSTRUCTION,1.76,6
CANADA POST,0.93,245
CANADENSYS AEROSPACE,1.21,8
CANADIAN BANK NOTE COMPANY,4.55,18
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,1.96,7
CANADIAN CORPS OF COMMISSIONAIRES,0.85,4477
CANADIAN DEVELOPMENT CONSULTANTS,0.85,43
CANADIAN EMERGENCY VENTILATORS,0.98,1
CANADIAN FISHING COMPANY,0.47,3
CANADIAN HELICOPTERS,0.4,243
CANADIAN LEASEBACK,0.73,174
CANADIAN MARITIME ENGINEERING,0.4,121
CANADIAN NORTH,0.05,26
CANADIAN NUCLEAR LABORATORIES,0.51,1
CANADIAN PAEDIATRIC SOCIETY,5.41,4
CANADIAN RED CROSS,1.43,13
CANADIAN STANDARDS ASSOCIATION,1.41,50
CANADIAN VETERANS VR SERVICE,4.01,1
