owner_org,contracts,contracts_with_amendments,has_amendments_percentage
aafc-aac,9156,990,0.1081
aandc-aadnc,2947,530,0.1798
acoa-apeca,414,37,0.0894
atssc-scdata,530,156,0.2943
cannor,75,9,0.12
cas-satj,1233,164,0.133
casdo-ocena,56,11,0.1964
cbsa-asfc,5118,1125,0.2198
ced-dec,310,31,0.1
cer-rec,922,146,0.1584
cfia-acia,2588,441,0.1704
cic,3877,1567,0.4042
cics-scic,125,4,0.032
cihr-irsc,769,173,0.225
cnsc-ccsn,977,183,0.1873
cpc-cpp,164,30,0.1829
cra-arc,4387,1949,0.4443
csa-asc,1528,322,0.2107
csc-scc,20523,2632,0.1282
csps-efpc,523,87,0.1663
cta-otc,297,86,0.2896
dfatd-maecd,19397,2225,0.1147
dfo-mpo,31121,4356,0.14
ec,12071,1103,0.0914
erc-cee,12,2,0.1667
esdc-edsc,7136,2325,0.3258
fcac-acfc,406,53,0.1305
feddevontario,204,31,0.152
fednor,4,0,0
fin,605,132,0.2182
fintrac-canafe,155,20,0.129
fpcc-cpac,27,2,0.0741
hc-sc,7549,1158,0.1534
iaac-aeic,297,56,0.1886
ic,6425,926,0.1441
iic-iac,156,14,0.0897
infc,564,112,0.1986
irb-cisr,1435,252,0.1756
isc-sac,3207,454,0.1416
jus,2042,222,0.1087
lac-bac,667,133,0.1994
nrc-cnrc,14375,1711,0.119
nrcan-rncan,10236,1137,0.1111
nserc-crsng,700,145,0.2071
pbc-clcc,354,36,0.1017
pc,14781,2559,0.1731
pch,2235,351,0.157
pco-bcp,1580,183,0.1158
phac-aspc,4369,782,0.179
pmprb-cepmb,145,7,0.0483
polar-polaire,50,3,0.06
ppsc-sppc,816,277,0.3395
pptc,4,1,0.25
ps-sp,1162,182,0.1566
psc-cfp,294,55,0.1871
pwgsc-tpsgc,30164,6132,0.2033
rcmp-grc,16839,2070,0.1229
ssc-spc,10895,2071,0.1901
sshrc-crsh,161,33,0.205
statcan,1358,56,0.0412
swc-cfc,102,6,0.0588
tbs-sct,1441,225,0.1561
tc,7783,994,0.1277
tsb-bst,286,30,0.1049
vac-acc,1390,189,0.136
vrab-tacra,50,3,0.06
wage,424,34,0.0802
wd-deo,151,10,0.0662
