d_vendor_name,max_years,n
1025178 RANDSTAD INTERIM,1.25,17
10647802 CANADA,3.84,16
11983890 CANADA CENTRE,1,1
1320376 ONTARIO,1.74,7
1X1 ARCHITECTURE,4.07,52
2220742 ONTARIO,2.71,28
2536 4589 QUEBEC,5.02,1
2KEYS,9.42,15
3469051 CANADA,3.2,74
3D DATACOMM,1.07,109
4 OFFICE AUTOMATION,7.21,189
4083261 CANADA,3.54,9
49 SOLUTIONS,2.43,16
529040 ONTARIO AND 880382,5.23,23
6834973 CANADA,6.87,1
727619 ALBERTA O A ROUGHRIDER,3.08,1
7305516 CANADA,3.22,7
736902 ONTARIO,2.36,7
73719 NEWFOUNDLAND LABRADOR,5,10
851791 NWT,3.75,4
9006 9311 QUEBEC,4,5
9053 9776 QUEBEC,3.27,4
9090 5092 QUEBEC,1.59,3
9099 3593 QUEBEC INTER PROJE,2.48,2
9168516 CANADA,1.45,7
9275 0181 QUEBEC,3.57,43
A C L CONSTRUCTION,0.56,2
A SANTIN MASON CONTRACTOR,4.83,1
AB SCIEX,5.01,83
ABB,5.21,73
ABCO INDUSTRIES,3.49,2
ABCO MAINTENANCE SYSTEMS,3.47,3
ABS AMERICAS,0.38,1
ACADIAN DREDGING,1.42,71
ACART COMMUNICATIONS,4.06,22
ACCENTURE,6,99
ACCESS 2 NETWORKS,5.01,84
ACME FUTURE SECURITY CONTROLS,5,58
ACOSYS CONSULTING SERVICES,2.57,64
ACT,2,92
ACTION PERSONNEL OF OTTAWA HULL,4.04,33
ADAPT PHARMA CANADA,0.92,87
ADOBE,8.01,28
ADP CANADA COMPAGNIE ADP CANADA,7.01,1
ADPEARL,2.6,2
ADVANCED BUSINESS INTERIORS,10.01,875
ADVANCED PARAMEDIC,3,4
AEG FUELS,1.9,1
AERO FEU,0.59,7
AERO SUPPLIES,0.37,352
AEROPORTS DE MONTREAL,0.25,1
AEROPRO,6.38,7
AFC INDUSTRIES,2.76,3
AGILEC,3.58,13
AIM HEALTH GROUP,6.26,10
AINSWORTH,6,137
AIR INUIT,2,66
AIR TINDI,1,143
AIRBOSS DEFENSE,0.18,4
AIRBUS,10.29,135
ALBERTA SEVENTH STEP SOCIETY,4,2
ALINEA INTERNATIONAL,7.59,11
ALLEN HASTINGS,2.61,4
ALLIANCE ENGINEERING CONSTRUCTION,1.21,7
ALLIED PAVING,1.9,1
ALLIED SHIPBUILDERS,1.67,17
ALPINE AEROTECH,0.18,138
ALVA CONSTRUCTION,3.28,10
AMD MEDICOM,10.27,2
AMDOCS,2,3
AMERESCO CANADA,18.66,17
AMERICAN BUREAU OF SHIPPING,4.64,74
AMEX BANK OF CANADA,6.96,2
AMTEK ENGINEERING,3.49,2
ANCHOR QEA,3.01,3
ANIXTER CANADA,3,70
ANSYS CANADA,3,107
AON REED STENHOUSE,7.59,100
APOTEX,2.29,3
APPTION,4.02,13
APRON FUEL SERVICES,1,63
APS AVIATION,3.89,7
AQUA GUARD SPILL RESPONSE,1.54,4
AQUA LUNG CANADA,0.22,7
ARCHITECTURE 49,9.53,101
ARCHITECTURE EVOQ,18.02,31
ARCP ATLANTIC ROAD CONSTRUCTION,1.42,2
ARCTIC CANADA CONSTRUCTION,1.53,5
ARDENT GLOBAL,0.25,2
ARIBA,16.24,1
ARIS GLOBAL,5,4
ARTEX SPORTSWEAR,5,14
ARUP CANADA,6.87,1
ASBEX,3.48,82
ASC GERMANY,0.5,6
ASOKAN BUSINESS INTERIORS,10.01,308
ASSOCIATED ENGINEERING,11.44,75
ATLANTIC ROOFERS,0.18,2
ATLANTIC TOWING,3.22,5
ATLANTICA MECHANICAL CONTRACTORS,2.52,19
ATS SERVICES,7.09,22
ATTACHMATE,4,21
ATWILL MORIN,2.92,10
AV NUNAVUT FUELS,1,1
AV TECH,6.34,129
AVJET HOLDING,1.08,44
AVMAX AVIATION SERVICES,0.39,38
AVONDALE CONSTRUCTION,2.29,18
AXYS TECHNOLOGIES,10,60
B BRAUN OF CANADA,1,1
B L ASSOCIATES,3.05,5
B R ENTERPRISES,1.41,15
B T L CONSTRUCTION,1.39,1
BAE SYSTEMS,1.01,2
BAJA CONSTRUCTION CANADA,2.48,10
BALODIS,0.92,10
BANCTEC CANADA,5.11,18
BANFIELD SEGUIN,4.65,35
BARGREEN ELLINGSON,1.16,189
BARR ENGINEERING AND ENVIRONMENTAL,0.96,13
BARRIE MACKAY CONTRACTING,4.15,2
BAUER HOCKEY,1,1
BAVARIAN NORDIC,4.61,1
BAXTER,3.15,9
BAY CONSTRUCTION MANAGEMENT,1.83,6
BC HYDRO,7.2,29
BEAUDOIN CANADA,4.47,2
BECKMAN COULTER CANADA,5.01,116
BELL AND HOWELL CANADA,4.28,7
BELL TEXTRON,3.29,276
BERGEVIN ELECTRICAL CONTRACTING,1.11,2
BERVIN CONSTRUCTION,2.62,8
BGLA,5.44,14
BIGHORN CONSTRUCTION,1.61,7
BIGHORN HELICOPTERS,1.15,96
BIRD CONSTRUCTION COMPANY,3.42,5
BIRON GROUPE SANTE,0.38,1
BISSON FORTIN ARCHITECTURE,3.62,18
BLACKBERRY,3.27,58
BLUEDOT,2,7
BMC SOFTWARE CANADA,6.01,38
BMT FLEET TECHNOLOGY,7.11,24
BOEHM HOTEL,1.5,1
BOLESS,3.93,6
BOLLORE LOGISTICS,2.26,178
BOMIMED,1.87,2
BOYD MOVING STORAGE,2.01,92
BP M GOVERNMENT IM IT CONSULTING,3.83,14
BRAGG COMMUNICATIONS,13.71,2
BRANDT TRACTOR,1.51,32
BRAWN CONSTRUCTION,2.42,13
BRETON MICHEL MD,4.84,10
BRIDGES OF CANADA,7.17,14
BRIQUETAL,2.95,5
BRITTON ELECTRIQUE,3.13,2
BROADNET TELECOM,1.17,45
BROADWATER INDUSTRIES,0.96,22
BRONTE CONSTRUCTION PORT DALHOUSIE REHABILITATION TRUST ACCOUNT,1.15,1
BROOK CONSTRUCTION,2.01,6
BROOKFIELD ASSET MANAGEMENT,6.07,13
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,13.41,357
BRS INNOVATIONS,3.37,11
BRUKER,5.2,83
BUDGELL S EQUIPMENT RENTALS,2.07,2
BUREAU NATHALIE,5.01,6
BUTTCON EAST,3.63,5
C CORE,1.83,15
C2D SERVICES,8.71,1
CA,3,17
CACHE COMPUTER CONSULTING,7.54,214
CADEX,0.34,2
CALKO GROUP,1.73,2
CALTRIO COMPANY,5.92,16
CAMPBELL DRUG STORES,1.01,1
CAMPBELL SCIENTIFIC CANADA,8.88,133
CAN AM PLATFORMS CONSTRUCTION,3.73,6
CANADENSYS AEROSPACE,2.23,8
CANADIAN BANK NOTE COMPANY,11.77,18
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,6.95,7
CANADIAN EMERGENCY VENTILATORS,0.98,1
CANADIAN FISHING COMPANY,0.97,3
CANADIAN HELICOPTERS,4.27,241
CANADIAN LEASEBACK,4.57,174
CANADIAN NORTH,0.63,26
CANADIAN NUCLEAR LABORATORIES,0.51,1
CANADIAN PAEDIATRIC SOCIETY,10.01,4
CANADIAN RED CROSS,3.11,13
CANADIAN VETERANS VR SERVICE,4.01,1
CANADYNE TECHNOLOGIES,2.73,4
CANAM PONTS CANADA,2.28,3
CANMEC INDUSTRIEL,1.49,1
CANSEL SURVEY EQUIPMENT,5.03,113
CANTEX OKANAGAN CONSTRUCTION,1.64,3
CARAHSOFT TECHNOLOGY,5.04,266
CAREWORX,4.11,27
CARLETON ELECTRIC,2.92,26
CARMACKS ENTERPRISES,0.69,1
CARMICHAEL ENGINEERING,7,55
CARSWELL,4,26
CASCADE AEROSPACE,0.12,1
CASCADE COLLEGE,0,1
CASP AEROSPACE,0.12,2
CATHOLIC SOCIAL SERVICES,7,5
CBCI TELECOM,4.34,662
CBRE,1.13,24
CCM CONSTRUCTION,1.56,3
CCR CONSTRUCTION,4.04,4
CEDROM SNI,3,59
CEGERCO,2.41,1
CELEB CONSTRUCTION,7.69,5
CELLEBRITE,2.76,5
CEPHEID CAD FUNDS,2,1
CERIDIAN,1.55,2
CGI,9.09,254
CH2M HILL CANADA,3.84,6
CHANDOS CONSTRUCTION,3.72,6
CHANNEL MANAGEMENT INTERNATIONAL,2,11
CHANTIER DAVIE CANADA,3.65,7
CHANTIER NAVAL FORILLON,2.43,4
CHARRON HUMAN RESOURCES,1.64,95
CHARTER TELECOM,5,5
CHEF BRANDZ,0.12,12
CHEVRON,1,39
CHU SAINTE JUSTINE,6.71,11
CIRCLE OF EAGLES LODGE SOCIETY,3,3
CISION CANADA,5.75,56
CITRIX,3,17
CLARIANT CANADA,1,25
CLEANMATTERS JANITORIAL SERVICES,7.5,16
CLEARWATER STRUCTURES,2.35,2
CLERMARK,1.01,1
CLICK NETWORKS,5.11,214
CLOSEREACH,6.18,88
CNW GROUP,4,160
CO VEN,1,1
COADY CONSTRUCTION EXCAVATING,3.04,15
COASTAL RESTORATION MASONRY,6.88,35
COCO PAVING,0.4,1
COLLIERS PROJECT LEADERS,8.94,132
COLUMBIA FUELS,0.95,169
COMMPOWER,4.65,2
COMMUNICATIONS POWER,4.47,2
COMMVAULT SYSTEMS,3,19
COMPUTER ASSOCIATES CANADA,3.01,5
COMPUTERSHARE INVESTOR SERVICES,25.03,8
COMPUWARE OF CANADA,10.01,6
CON PRO INDUSTRIES CANADA,4.49,13
CONCEPT CONTROLS,1.5,50
CONFECTION AVENTURE,1.73,1
CONNECTIVE SUPPORT SOCIETY,3,7
CONNEX TELECOMMUNICATIONS,3.24,23
CONOSCENTI TECHNOLOGIES,4.91,17
CONSORTIUM TRANSTEC ET SERVICE,5.05,1
CONSTRUCTION BLANCHARD ET,2.25,2
CONSTRUCTION BUGERE,3,10
CONSTRUCTION COTE FILS,1.15,1
CONSTRUCTION COUTURE TANGUAY,0.12,1
CONSTRUCTION CYBCO,7.12,6
CONSTRUCTION DEMATHIEU BARD,3.72,6
CONSTRUCTION DERIC,3.15,13
CONSTRUCTION J R SAVARD,2.86,2
CONSTRUCTION JESSIKO,1.24,6
CONSTRUCTION LFG,4.75,14
CONSTRUCTION RIC,2.53,1
CONSTRUCTION SIMDEV,2.82,2
CONSTRUCTION SOCAM,5.83,5
CONSTRUCTIONS BSL,2.49,6
CONVERGINT TECHNOLOGIES,2.66,114
COPCAN CIVIL,2.12,7
CORBEL MANAGEMENT,10.01,5
CORSORTIUM TRANSTEC,4.94,1
COUGAR ENGINEERING CONSTRUCTION,1.52,3
COWATERSOGEMA,10.7,13
COWI NORTH AMERICA,2.34,82
CRANDALL ENGINEERING,4.52,31
CRC CURE LABELLE,5.25,2
CRUICKSHANK CONSTRUCTION,2.61,4
CRYPTOMILL TECHNOLOGIES,0.37,1
CSDC SYSTEMS,7.58,93
CTOMS,1.16,82
CUBIC DEFENSE APPLICATIONS,0.23,2
CULLEN DIESEL POWER,5,42
CUMMINS CANADA,5.92,86
CWP CONSTRUCTORS,2.67,10
CYMI CANADA,2.09,1
CYTELLIGENCE,2,1
D DOYLE INSTALLATIONS,2.97,159
D F S,9.4,48
D H PARTNERSHIP,10.01,2
D4IS SOLUTIONS,5.02,19
DAIMLER,0.43,1
DALHOUSIE UNIVERSITY,4.81,85
DALIAN ENTERPRISES,5.01,138
DASCO EQUIPMENT,4.04,216
DAVID S LAFLAMME CONSTRUCTION,2.82,3
DAVTAIR INDUSTRIES,0.62,3
DAWSON CONSTRUCTION,1.58,6
DBC MARINE SAFETY SYSTEMS,1.22,16
DCL CONSTRUCTION SERVICES,1.58,11
DE ANGELIS CONSTRUCTION,3,1
DEAN CONSTRUCTION COMPANY,1.68,4
DECISIVE GROUP,5.01,21
DECISIVE TECHNOLOGIES,5.11,225
DEFRAN,2.13,16
DELCO AUTOMATION,7.18,116
DESIRE2LEARN,3.03,1
DEVLIN CONSTRUCTION,1.5,1
DEXTER CONSTRUCTION,4.12,45
DEXTERRA,3.34,4
DF BARNES SERVICES,0.91,17
DHL EXPRESS CANADA,1.01,44
