d_vendor_name,total_amendment_increase_value,n
10647802 CANADA,9060118.58,7
11983890 CANADA CENTRE,48330100.00,1
1320376 ONTARIO,2141164.84,4
152610 CANADA,303159.12,3
1595769 ONTARIO,119780.50,1
175303 CANADA,1197163.69,1
1E,444124.25,2
1X1 ARCHITECTURE,815004.29,22
2099042 ONTARIO,1237913.01,3
2145675 ONTARIO,2151876.45,2
2220742 ONTARIO,2068623.86,11
2347758 NOVA SCOTIA,1601.96,1
2536 4589 QUEBEC,6703525.79,1
2961 3403 QUEBEC,1436788.93,9
2KEYS,-26534459.79,9
3469051 CANADA,5649586.71,20
3D DATACOMM,-20772.70,5
3M CANADA COMPANY,7633308.34,1
3V MECHANICAL,510153.25,12
4 OFFICE AUTOMATION,-1482105.97,95
4083261 CANADA,977467.93,5
49 SOLUTIONS,5690675.83,6
520571 ONTARIO,3920514.29,3
529040 ONTARIO 880382 ONTARIO,4174859.40,1
529040 ONTARIO AND 880382,18705370.14,13
5581 NUNAVUT,503160.92,1
674725 ONTARIO,-490971.84,1
6771581 CANADA,1404758.80,2
6834973 CANADA,6532620.67,1
6854265 CANADA,0.00,1
727619 ALBERTA O A ROUGHRIDER,453294.25,1
7305516 CANADA,275240.87,6
736902 ONTARIO,-55755.38,5
851791 NWT,575850.06,2
9006 9311 QUEBEC,12855429.04,5
9034 3476 QUEBEC,2403557.60,7
9090 5092 QUEBEC,1358637.43,3
9099 3593 QUEBEC,1160926.09,1
9099 3593 QUEBEC INTER PROJE,810793.16,2
9160 5188 QUEBEC,468889.43,1
9170 7570 QUEBEC,39011.13,1
9205187 CANADA,3960161.33,1
9244 3175 QUEBEC,171961.52,2
9275 0181 QUEBEC,845891.26,3
9468269 CANADA,221659.39,2
A C L CONSTRUCTION,122407.38,1
A HARVEY COMPANY,1367331.32,3
A NET SOLUTIONS,604448.66,11
A SANTIN MASON CONTRACTOR,1962986.87,1
AB SCIEX,2452189.75,13
ABB,29990642.34,20
ABBOTT,4993397.51,4
ABCO MAINTENANCE SYSTEMS,18151.88,1
ACADIAN CONSTRUCTION 1991,61669.80,2
ACADIAN DREDGING,-554883.67,12
ACADIAN MARINE DIVING,1144276.19,2
ACART COMMUNICATIONS,3921382.50,5
ACCENTURE,200033039.04,38
ACCESS 2 NETWORKS,230102.25,9
ACKLANDS GRAINGER,-388982.22,11
ACME FUTURE SECURITY CONTROLS,2432647.68,16
ACOSYS CONSULTING SERVICES,3465863.54,31
ACOSYS CONSULTING SERVICES PRICEWATERHOUSE COOPERS,4259780.77,11
ACT,1049270.46,7
ACTION PERSONNEL OF OTTAWA HULL,3413892.41,22
ADGA GROUP,96788700.85,47
ADOBE,46478225.01,9
ADPEARL,11062702.83,4
ADRM TECHNOLOGY AND RANDSTAD IN JV,961368.00,5
ADRM TECHNOLOGY CONSULTING,37389530.77,167
ADSS,198896.62,5
ADSS 6175015 CANADA,63123.06,2
ADVANCED BUSINESS INTERIORS,2177526.96,53
ADVANCED CHIPPEWA TECHNOLOGIES,35094236.43,64
ADVANCED ENERGY MANAGEMENT,255356.35,2
ADVANCED PARAMEDIC,12120613.68,3
ADVANIS JOLICOEUR,526585.65,1
AECOM,76353933.26,124
AEG FUELS,-26250.00,1
AERO FEU,-81655.34,2
AERO SUPPLIES,186909.87,22
AEROPORT DE QUEBEC,2399492.53,1
AEROPORTS DE MONTREAL,9256533.37,1
AEROPRO,6679387.09,5
AFC INDUSTRIES,1071438.83,2
AFN ENGINEERING,1338928.75,54
AG CREATIONS,87840.74,3
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,4373718.52,1
AGILEC,57207.98,4
AGILENT,7784531.30,53
AHS COMMUNITY INDUSTRIES,8900540.58,4
AIM HEALTH GROUP,15426986.14,10
AIM SUPPLY,-917699.82,4
AINSWORTH,1905630.69,23
AIR INDIA,225987.19,1
AIR INUIT,10899319.43,3
AIR LIQUIDE CANADA,708460.31,54
AIR PRODUCTS CANADA,1461670.71,31
AIR TINDI,128808.82,10
AIRBUS,3885156.26,23
AIRPORT TECHNOLOGIES,42283.93,2
AIRSIDE PROPERTIES,8595042.54,1
ALBERTA SEVENTH STEP SOCIETY,6737981.14,2
ALCAIDE WEBSTER ARCHITECTS,1469673.77,12
ALGONQUIN COLLEGE,118188.45,8
ALIKA INTERNET TECHNOLOGIES,3021457.02,4
ALINEA INTERNATIONAL,-866147.75,3
ALIVAKTUK CONSULTING,4882503.15,4
ALLEN HASTINGS,201997.89,4
ALLIANCE ENERGY,2836680.89,3
ALLIANCE ENGINEERING CONSTRUCTION,1482631.61,4
ALLIED PAVING,-988469.37,1
ALLIED PROJECTS,-264359.54,1
ALLIED SHIPBUILDERS,9477241.55,12
ALLSEATING,46919.38,3
ALPHA CONSTRUCTION,756531.70,3
ALPINE AEROTECH,0.00,4
ALPINE HELICOPTERS,554948.63,12
ALS CANADA,5265147.04,23
ALTIS HUMAN RESOURCES,30050635.86,278
ALVA CONSTRUCTION,1299234.56,6
AMAZON,17416580.79,31
AMD MEDICOM,41124.52,2
AMDOCS,3105499.41,2
AMERESCO CANADA,220714578.21,9
AMERICAN BUREAU OF SHIPPING,-258631.73,11
AMERICAN CHEMICAL SOCIETY,-145125.65,7
AMEX BANK OF CANADA,0.00,1
AMTEK ENGINEERING,225523.71,1
ANALYTICAL GRAPHICS,494443.27,3
ANCHOR QEA,10523809.53,2
ANGUS CONSULTING MANAGEMENT,698673.09,1
ANIXTER,35633.81,3
ANSYS CANADA,357459.61,9
ANTHONY MACAULEY ASSOCIATES,321704.45,1
ANTONIANI LAW PROFESSIONAL,5784474.37,1
AON REED STENHOUSE,8841995.67,24
APICA MEDICAL SERVICES,2432339.11,3
APOTEX,-317227.82,1
APPAREL TRIMMINGS,4268053.20,13
APPLIED ELECTONICS,17239739.42,30
APPTION,7235470.79,8
APRON FUEL SERVICES,84690.29,4
APS AVIATION,5046188.57,2
AQUA GUARD SPILL RESPONSE,2430746.58,2
AQUA LUNG CANADA,0.00,1
AQUATIC INFORMATICS,3966568.49,7
ARA ROBOTIQUE ARA ROBOTIC IN,30461.96,1
ARAL CONSTRUCTION 2014,492630.49,3
ARCADIS CANADA,9559126.65,100
ARCHITECTURE 49,25756875.99,43
ARCHITECTURE EVOQ,97268509.61,24
ARCTIC CANADA CONSTRUCTION,1539078.35,4
ARI FINANCIAL SERVICES,2005195.16,113
ARISGLOBAL,3054540.02,3
ARMSERV CONTRACTING,208822.78,2
ARNASON INDUSTRIES,375131.68,1
ARRM ELECTRIC,150959.13,2
ARROW HELICOPTERS,2019550.82,18
ARTEMP PERSONNEL SERVICES,4376732.51,70
ARTEX SPORTSWEAR,3564422.99,8
ARUP CANADA,3200000.02,1
ASBEX,6882700.37,22
ASC GERMANY,31451.39,2
ASL PAVING,97678.25,1
ASML US,87487.60,1
ASOKAN BUSINESS INTERIORS,1250660.28,15
ASPEN PHARMACARE CANADA,-1723664.24,1
ASSOCIATED ENGINEERING,11128552.04,42
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,4480079.66,2
ATCO,-2839622.61,103
ATIRA WOMENS RESOURCE SOCIETY,3222488.50,3
ATKINSON CONSTRUCTION,290100.75,2
ATLANTIC BUSINESS INTERIORS,941466.72,6
ATLANTIC HUMAN SERVICES,6262013.24,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,1397216.05,3
ATLANTIC TOWING,4420661.96,2
ATLANTICA MECHANICAL CONTRACTORS,532280.28,7
ATS SERVICES,2503046.31,13
ATS TRAFFIC ALBERTA,3651798.09,2
ATWILL MORIN,5425557.77,8
AV TECH,840192.52,19
AVENAI,1174498.26,4
AVI SPL,582442.37,46
AVJET HOLDING,101214.98,6
AVMAX AVIATION SERVICES,69164.78,5
AVONDALE CONSTRUCTION,4486491.88,12
AXA ASSISTANCE CANADA,1695000.00,1
AXON,0.00,2
AXT TONGMEI,13621.07,1
AXYS TECHNOLOGIES,3094696.78,9
AZIMUTH CONSULTING GROUP,1402299.64,3
B L ASSOCIATES,2870676.91,2
B R ENTERPRISES,763193.55,9
B T L CONSTRUCTION,54610180.44,1
BABEL STREET,2578542.24,2
BAD VENTURES,294945.00,1
BAE SYSTEMS,38006.77,1
BAJA CONSTRUCTION CANADA,449299.82,7
BALODIS,-123812.51,2
BANCTEC CANADA,16836497.11,3
BANFIELD SEGUIN,12964979.32,9
BARDON SUPPLIES,37016.54,2
BARGREEN ELLINGSON,1813057.58,9
BARRIE MACKAY CONTRACTING,2117254.95,2
BARRY S BULLDOZING,240796.75,6
BAXTER,580255.00,1
BAY CONSTRUCTION MANAGEMENT,853155.32,6
BAYSHORE HEALTHCARE,8958070.08,50
BC BORSTAL ASSOC,4141722.49,1
BDO CANADA,19179370.42,111
BEAUDOIN CANADA,2945943.44,2
BEAULIEU PLUMBING MECHANICAL,656823.18,1
BEAVER AIR CHARTER CONSULTANTS,40478.13,16
BECKMAN COULTER CANADA,334130.94,9
BEE CLEAN BUILDING MAINTENANCE,1354904.22,11
BELL AND HOWELL CANADA,5361913.70,7
BELL CANADA,2205050859.50,331
BELL TEXTRON,8703868.35,18
BERLITZ CANADA,461614.90,44
BERVIN CONSTRUCTION,1808084.25,5
BEST WESTERN PLUS REGENCY INN,1208576.04,3
BEVA GLOBAL MANAGEMENT,721767.00,11
BGLA,4570961.22,11
BIARRITZ CONSTRUCTION,218089.07,2
BIGHORN CONSTRUCTION,1117015.18,7
BIGHORN HELICOPTERS,1143052.59,19
BIO NUCLEAR DIAGNOSTICS,-3692990.57,2
BIO RAD LABORATORIES CANADA,6854.52,8
BIOMERIEUX CANADA,7169945.88,12
BIRD CONSTRUCTION COMPANY,3321912.78,4
BISSON FORTIN ARCHITECTURE,3927065.07,14
BLACK MCDONALD,23594964.06,50
BLACKBERRY,92918180.09,4
BLOOMBERG FINANCE L P,658838.78,7
BLUEDOT,1377032.50,3
BLUEWAVE ENERGY,364017.58,14
BLUMETRIC ENVIRONMENTAL,3221574.00,38
BMC SOFTWARE,3543213.87,4
BMC SOFTWARE CANADA,61629495.74,15
