d_vendor_name,max_overall_value,n
10647802 CANADA,9258481.93,16
11983890 CANADA CENTRE,67099400.00,1
1320376 ONTARIO,6419229.93,7
1456812 ALBERTA,1984920.00,2
175 303 CANADA,2858243.19,2
175303 CANADA,3865732.85,1
1X1 ARCHITECTURE,509159.70,52
2099042 ONTARIO,4221477.00,4
2145675 ONTARIO,3705370.42,2
2220742 ONTARIO,6109819.94,28
2536 4589 QUEBEC,10382725.79,1
2553164 ONTARIO,935740.13,3
2KEYS,125660000.00,15
3469051 CANADA,3601952.37,74
3955788 CANADA,2996977.83,11
3D DATACOMM,670489.40,109
3M CANADA COMPANY,8808125.94,17
4 OFFICE AUTOMATION,1076718.24,189
4083261 CANADA,2975895.41,9
49 SOLUTIONS,2630039.16,16
520571 ONTARIO,2437273.32,6
529040 ONTARIO AND 880382,23560000.00,23
6771581 CANADA,574875.00,1
6834973 CANADA,15263253.79,1
727619 ALBERTA O A ROUGHRIDER,6192473.04,1
7305516 CANADA,7786866.23,7
736902 ONTARIO,4781312.50,7
73719 NEWFOUNDLAND LABRADOR,1044459.00,10
851791 NWT,16387026.42,4
898845 ALBERTA,2812024.63,3
9006 9311 QUEBEC,14621902.72,5
9034 3476 QUEBEC,3110260.69,10
9089 5657 QUEBEC,2348167.62,1
9090 5092 QUEBEC,6005990.03,3
9099 3593 QUEBEC INTER PROJE,5715143.95,2
9160 5188 QUEBEC,4425718.42,1
9168516 CANADA,5098030.05,7
9205187 CANADA,9333260.28,1
9244 3175 QUEBEC,3585869.26,2
9275 0181 QUEBEC,6893315.18,43
A B BUILDERS,2160747.39,2
A C L CONSTRUCTION,3347565.87,2
A NET SOLUTIONS,485165.50,64
A SANTIN MASON CONTRACTOR,4491608.21,1
AB SCIEX,1601910.54,84
ABB,29416116.00,73
ABBOTT,35932050.00,58
ABCO INDUSTRIES,9880037.23,2
ABCO MAINTENANCE SYSTEMS,622699.88,3
ABS AMERICAS,39917.25,1
ACADIAN CONSTRUCTION 1991,2264750.50,2
ACADIAN DREDGING,721625.00,71
ACART COMMUNICATIONS,2545890.00,22
ACCENTURE,130256581.36,99
ACCESS 2 NETWORKS,3896907.60,84
ACKLANDS GRAINGER,2105190.00,145
ACME FUTURE SECURITY CONTROLS,3150716.69,58
ACOSYS CONSULTING SERVICES,685016.91,64
ACT,2801494.40,93
ACTION PERSONNEL OF OTTAWA HULL,1271538.15,33
ADAPT PHARMA CANADA,740955.60,87
ADGA GROUP,67894784.40,122
ADOBE,37798547.57,28
ADP CANADA,26611404.23,1
ADPEARL,12023200.00,2
ADRM TECHNOLOGY CONSULTING,17370000.00,224
ADVANCED BUSINESS INTERIORS,3092787.12,875
ADVANCED CHIPPEWA TECHNOLOGIES,31907038.67,562
ADVANCED PARAMEDIC,10703222.25,4
AECOM,30195238.10,285
AEG FUELS,112350.00,1
AERO FEU,138494.21,7
AERO SUPPLIES,365246.62,352
AEROPORT DE QUEBEC,2962595.77,3
AEROPORTS DE MONTREAL,8294161.13,1
AEROPRO,4047063.82,7
AFC INDUSTRIES,7020654.83,3
AFN ENGINEERING,559360.00,284
