d_vendor_name,total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,6448195280.27
PCL CONSTRUCTORS,2256447147.77
VANCOUVER SHIPYARDS,974820963.41
D H PARTNERSHIP,950085944.55
MACDONALD DETTWILER AND ASSOCIATES,949333805.78
CHANTIER DAVIE CANADA,884705257.80
SIGNATURE SUR LE SAINT LAURENT,722894981.98
"NAVTECH",541680794.25
POMERLEAU,480481410.84
CANADIAN BANK NOTE COMPANY,429529056.81
MAPLE REINDERS CONSTRUCTORS,392434935.05
ORACLE CANADA,382266196.38
PROLINE ADVANTAGE,373182500.00
WCG INTERNATIONAL CONSULTANTS,313224347.51
HEWLETT PACKARD,302206019.62
MUFACTOR,256160830.00
ACCENTURE,241515174.87
PARSONS CANADA,237537352.01
FTI PROFESSIONAL GRADE,237300000.00
CGI,230829325.52
SUN LIFE ASSURANCE COMPANY,207495146.14
VFS GLOBAL,202784205.87
THORNHILL MEDICAL,200451118.94
MAPLESOFT CONSULTING,200166954.12
PETER KIEWIT SONS,197129619.67
MCKESSON CANADA,196957353.36
GARTNER,194630114.65
COLLIERS PROJECT LEADERS,189983759.98
GENERAL MOTORS,181364572.12
SYSTEMATIX SOLUTIONS,178554904.91
SUPERMAX HEALTHCARE CANADA,173645010.81
VIRTUAL POSSIBILITIES DIVISION,172977959.20
CANADIAN EMERGENCY VENTILATORS,169500000.00
MEDAVIE,165520114.83
CAMPBELL DRUG STORES,165206000.00
PAL AEROSPACE,164289851.38
2KEYS,151260451.44
IRVING OIL,151239804.99
SPARTAN BIOSCIENCE,149048550.00
DYNACARE,145299353.60
INSA,145299071.91
HOLMAN FENWICK WILLAN,144098850.00
MONERIS,143995692.24
ATLANTIC TOWING,135141068.07
JOHN HOWARD SOCIETY,132413730.45
SC2 0 STEPPED CARE SOLUTIONS,130457454.16
NEWDOCK ST JOHN S DOCKYARD,127144002.56
EXPRESS SCRIPTS CANADA,127094684.76
INMARSAT SOLUTIONS,122516733.95
ZAYO CANADA,117318546.00
CACHE COMPUTER CONSULTING,115372378.63
COMPUTER ASSOCIATES CANADA,114302521.48
ISOPLEX,113565000.00
CANADIAN RED CROSS,111210902.36
TELESAT,109861239.36
THE STEVENS COMPANY,109673066.32
SALVATION ARMY,108561968.13
DECISIVE TECHNOLOGIES,108388262.95
FLUID ENERGY GROUP,107384630.58
PETERS CONSTRUCTION,105914357.37
COMPUTERSHARE INVESTOR SERVICES,104570889.74
SAP,103897421.62
LUMINULTRA TECHNOLOGIES,103121706.07
OKANAGAN AGGREGATES,101696340.57
CLICK NETWORKS,100320779.50
INFOSYS,99800247.06
WAZANA CLOTHING,99491989.67
ITEX,95626273.27
MILESTONE ENVIRONMENTAL,94294758.57
VMWARE,92959037.19
LEONARDO,92772659.08
FEDERAL EXPRESS CANADA,92129236.98
GARDA SECURITY GROUP,89213305.18
WARTSILA,89064808.03
STONEWORKS TECHNOLOGIES,88835864.11
TES CONTRACT SERVICES,87193534.82
HIKE METAL PRODUCTS,84492655.75
COWATERSOGEMA,83863299.80
AMERESCO CANADA,80256926.36
BELL TEXTRON,79626122.73
ONX ENTERPRISE SOLUTIONS,76950213.85
BMC SOFTWARE CANADA,76669748.87
ABB,76522510.33
WHITE BEAR INDUSTRIES,76014286.31
ECLIPSYS SOLUTIONS,75429472.99
TISSEUR,74972244.98
G4S SECURITY SERVICES,74331102.53
GLAXOSMITHKLINE,73017319.89
METRO LOGISTICS,72702376.78
SAS INSTITUTE,70695764.50
WOOLLY MAMMOTH OUTERWEAR,69643195.87
"NAHANNI CONSTRUCTION",68961957.37
PALADIN GROUP,68381726.17
GC STRATEGIES,67943356.10
PRIMED MEDICAL PRODUCTS,67337400.15
11983890 CANADA CENTRE,67099400.00
UNISYS CANADA,66280275.76
EIFFAGE INNOVATIVE CANADA,66273611.27
TELECOM COMPUTER SERVICES,65405799.35
GREENFIELD CONSTRUCTION,64841910.31
BOLESS,64825553.46
RJG CONSTRUCTION,64364982.10
DYNABOOK CANADA,63050449.02
ROUDEL MEDICAL AND SURGICAL,62257350.00
DEXTER CONSTRUCTION,62236850.09
CONSTRUCTION DEMATHIEU BARD,62063932.27
SELEX,61421898.55
TALIGENT CONSULTING,58432890.81
HAMEL CONSTRUCTION,58030384.17
CORBEL MANAGEMENT,56751591.92
ADVANCED BUSINESS INTERIORS,56619045.51
INKSMITH,56529832.00
GABRIELA OLIVEIRA,56258191.97
GREEN TIMBERS PARTNERSHIP,55487675.91
SQUAMISH INDIAN BAND,54982211.42
ESBE SCIENTIFIC INDUSTRIES,54787593.39
FCA CANADA,54603862.71
FRASER RIVER PILE DREDGE GP O,53478072.07
BIRON GROUPE SANTE,53460393.73
PROTAK CONSULTING GROUP,53381398.84
PROCOM CONSULTANTS,53266014.66
WINMAR CANADA INTERNATIONAL,53100000.00
CONSTRUCTION LFG,52619232.66
LOUIS W BRAY CONSTRUCTION,51897754.96
DRAGAGE OCEAN DSM,51814559.64
PURESPIRIT SOLUTIONS,51379286.61
HITACHI DATA SYSTEMS,50481507.03
CARAHSOFT TECHNOLOGY,49695841.25
JONELJIM CONCRETE CONSTRUCTION,49227886.77
JOSEPH RIBKOFF,49048335.01
J STERLING INDUSTRIES,48840242.00
MCNALLY CONSTRUCTION,48727699.51
PENN CONSTRUCTION CANADA,48684224.16
REACTOR ENGINEERING GROUP,48307500.00
ALLIED SHIPBUILDERS,47932168.88
MICRO FOCUS CANADA,47889129.71
GRAHAM CONSTRUCTION,45886647.94
BRIDGES OF CANADA,45506715.96
LES ENTREPRISES P E C,45411571.98
GREATER TORONTO AIRPORT AUTHORITY,45341901.57
NUNA EAST,44564237.03
EMS TECHNOLOGIES,44510666.81
GATESTONE,44499346.64
KYNDRYL CANADA,42921815.81
