d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
10647802 CANADA,16,6,0.375
11983890 CANADA CENTRE,1,1,1
1320376 ONTARIO,7,4,0.5714
1456812 ALBERTA,2,0,0
175 303 CANADA,2,2,1
175303 CANADA,1,1,1
1X1 ARCHITECTURE,52,18,0.3462
2099042 ONTARIO,4,3,0.75
2145675 ONTARIO,2,2,1
2220742 ONTARIO,28,10,0.3571
2536 4589 QUEBEC,1,1,1
2553164 ONTARIO,3,0,0
2KEYS,15,8,0.5333
3469051 CANADA,74,14,0.1892
3955788 CANADA,11,4,0.3636
3D DATACOMM,109,4,0.0367
3M CANADA COMPANY,17,2,0.1176
4 OFFICE AUTOMATION,189,87,0.4603
4083261 CANADA,9,5,0.5556
49 SOLUTIONS,16,5,0.3125
520571 ONTARIO,6,3,0.5
529040 ONTARIO AND 880382,23,13,0.5652
6771581 CANADA,1,0,0
6834973 CANADA,1,1,1
727619 ALBERTA O A ROUGHRIDER,1,1,1
7305516 CANADA,7,6,0.8571
736902 ONTARIO,7,5,0.7143
73719 NEWFOUNDLAND LABRADOR,10,4,0.4
851791 NWT,4,2,0.5
898845 ALBERTA,3,3,1
9006 9311 QUEBEC,5,5,1
9034 3476 QUEBEC,10,5,0.5
9089 5657 QUEBEC,1,1,1
9090 5092 QUEBEC,3,3,1
9099 3593 QUEBEC INTER PROJE,2,2,1
9160 5188 QUEBEC,1,1,1
9168516 CANADA,7,1,0.1429
9205187 CANADA,1,1,1
9244 3175 QUEBEC,2,2,1
9275 0181 QUEBEC,43,3,0.0698
A B BUILDERS,2,1,0.5
A C L CONSTRUCTION,2,0,0
A NET SOLUTIONS,64,9,0.1406
A SANTIN MASON CONTRACTOR,1,1,1
AB SCIEX,84,10,0.119
ABB,73,18,0.2466
ABBOTT,58,9,0.1552
ABCO INDUSTRIES,2,0,0
ABCO MAINTENANCE SYSTEMS,3,1,0.3333
ABS AMERICAS,1,0,0
ACADIAN CONSTRUCTION 1991,2,2,1
ACADIAN DREDGING,71,10,0.1408
ACART COMMUNICATIONS,22,5,0.2273
ACCENTURE,99,33,0.3333
ACCESS 2 NETWORKS,84,9,0.1071
ACKLANDS GRAINGER,145,10,0.069
ACME FUTURE SECURITY CONTROLS,58,16,0.2759
ACNIELSEN COMPANY OF CANADA,21,6,0.2857
ACOSYS CONSULTING SERVICES,64,30,0.4688
ACT,93,4,0.043
ACTION PERSONNEL OF OTTAWA HULL,33,19,0.5758
ADAPT PHARMA CANADA,87,2,0.023
ADGA GROUP,122,46,0.377
ADOBE,28,9,0.3214
ADP CANADA,1,0,0
ADPEARL,2,1,0.5
ADRM TECHNOLOGY CONSULTING,224,137,0.6116
ADVANCED BUSINESS INTERIORS,875,46,0.0526
ADVANCED CHIPPEWA TECHNOLOGIES,562,49,0.0872
ADVANCED PARAMEDIC,4,2,0.5
AECOM,285,113,0.3965
AEG FUELS,1,1,1
AERO FEU,7,2,0.2857
AERO SUPPLIES,352,22,0.0625
AEROPORT DE QUEBEC,3,1,0.3333
AEROPORTS DE MONTREAL,1,1,1
AEROPRO,7,4,0.5714
AFC INDUSTRIES,3,2,0.6667
AFN ENGINEERING,284,51,0.1796
AG CREATIONS,6,1,0.1667
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,1,1,1
AGILEC,13,0,0
AGILENT,495,40,0.0808
AGRITEAM CANADA,15,0,0
AHS COMMUNITY INDUSTRIES,4,4,1
AIM HEALTH GROUP,10,6,0.6
AINSWORTH,137,16,0.1168
AIR INDIA,3,1,0.3333
AIR INUIT,66,1,0.0152
AIR LIQUIDE CANADA,218,44,0.2018
AIR PRODUCTS CANADA,62,29,0.4677
AIR TINDI,143,7,0.049
AIRBOSS DEFENSE,4,0,0
AIRBUS,135,21,0.1556
AIRSIDE PROPERTIES,1,0,0
AIRSIDES PROPERTIES,1,1,1
ALBERTA HEALTH SERVICES,12,6,0.5
ALBERTA SEVENTH STEP SOCIETY,2,2,1
ALCAIDE WEBSTER ARCHITECTS,26,12,0.4615
ALDRICH PEARS ASSOCIATES,6,2,0.3333
ALIKA INTERNET TECHNOLOGIES,13,3,0.2308
ALINEA INTERNATIONAL,11,1,0.0909
ALIVAKTUK CONSULTING AND NAVPOINT CONSULTING GROUP IN JOINT VENTURE,1,1,1
ALLEN HASTINGS,4,4,1
ALLIANCE ENERGY,15,3,0.2
ALLIANCE ENGINEERING CONSTRUCTION,7,2,0.2857
ALLIED PAVING,1,1,1
ALLIED SHIPBUILDERS,17,12,0.7059
ALLSEATING,72,2,0.0278
ALPINE AEROTECH,138,4,0.029
ALPINE HELICOPTERS,246,10,0.0407
ALS CANADA,118,19,0.161
ALTERNATIVE CONCRETE TECHNOLOGIES,1,1,1
ALTIS HUMAN RESOURCES,864,245,0.2836
ALTO CONSTRUCTION,1,1,1
ALVA CONSTRUCTION,10,6,0.6
AMAZON,68,22,0.3235
AMBULANCE ST JEAN,1,1,1
AMD MEDICOM,2,2,1
AMDOCS,3,1,0.3333
AMEC CONSTRUCTION,1,1,1
AMEC FOSTER WHEELER AMERICAS,136,21,0.1544
AMER SPORTS CANADA,1,0,0
AMERESCO CANADA,17,9,0.5294
AMERICAN BUREAU OF SHIPPING,74,11,0.1486
