d_vendor_name,total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,7590784844.08
PCL CONSTRUCTORS,2821173635.97
IBM CANADA,2499473038.44
BELL CANADA,2058153536.33
MICROSOFT CANADA,1689952521.59
CANADIAN CORPS OF COMMISSIONAIRES,1451323322.09
VANCOUVER SHIPYARDS,1240101916.32
MACDONALD DETTWILER AND ASSOCIATES,1053881689.23
D H PARTNERSHIP,984182919.64
CHANTIER DAVIE CANADA,893885479.81
SIGNATURE SUR LE SAINT LAURENT,868463922.30
DELOITTE,823740881.92
SWITCH HEALTH,624329093.11
ELLISDON,591458836.87
TELUS CANADA,579423960.53
NORTHERN MICRO,566133803.66
CANADIAN BANK NOTE COMPANY,554438621.27
POMERLEAU,543181740.65
"NAVTECH",541732873.90
VERITAAQ TECHNOLOGY HOUSE,501879539.18
COSSETTE COMMUNICATIONS,485409277.44
PRICEWATERHOUSE COOPERS,483370357.08
ORACLE CANADA,475638477.09
VFS GLOBAL,453042296.02
ESAP PROJECT PARTNERSHIP,446872666.47
MAPLE REINDERS CONSTRUCTORS,437202242.46
WCG INTERNATIONAL CONSULTANTS,435665334.26
SI SYSTEMS,432707160.00
TEKSYSTEMS CANADA,414659583.06
WSP,396746352.60
TPG TECHNOLOGY CONSULTANTS,395380404.25
PARSONS CANADA,386448908.16
PROLINE ADVANTAGE,373182500.00
MOTOROLA SOLUTIONS CANADA,361028508.95
FORD MOTOR COMPANY,356534492.52
HEWLETT PACKARD,324688381.91
CAE,313613197.08
TERAMACH TECHNOLOGIES,311331659.09
CGI,282813935.79
ACCENTURE,280758856.65
ROGERS,274676091.25
MACDONALD DETTWILER AND ASSOCIATE,274547936.73
DONNA CONA,265745104.01
IBISKA TELECOM,261571431.64
MAPLESOFT CONSULTING,260060855.16
EXCEL HUMAN RESOURCES,259306981.89
NISHA TECHONOLOGIES,259004886.56
MUFACTOR,256160830.00
COFOMO,255827783.73
COLLIERS PROJECT LEADERS,251674299.05
PETER KIEWIT SONS,249973688.69
SUN LIFE ASSURANCE COMPANY,247529484.26
CALIAN,247269643.12
GARTNER,246823141.32
THE AIM GROUP,243615832.03
SYSTEMATIX SOLUTIONS,237590143.74
FTI PROFESSIONAL GRADE,237300000.00
MONERIS,236474955.46
MCKESSON CANADA,236172865.84
GENERAL MOTORS,227362312.99
MODIS CANADA,225788217.01
LIFELABS,220386017.61
STANTEC,216322374.84
MEDAVIE,215334254.48
RANDSTAD,211347667.35
IRVING OIL,208977295.71
INSA,205234661.47
THORNHILL MEDICAL,200451118.94
LOGISTIK UNICORP,196466122.73
STEPPED CARE SOLUTIONS,194317417.78
ATLANTIC TOWING,186946372.09
2KEYS,182599551.47
SUPERMAX HEALTHCARE CANADA,173645010.81
VIRTUAL POSSIBILITIES DIVISION,172977959.20
ADGA GROUP,171701042.37
CANADIAN EMERGENCY VENTILATORS,169500000.00
DYNACARE,169299855.37
OPENTEXT,168378149.46
CDW CANADA,167076239.57
PAL AEROSPACE,166226652.41
IRVING SHIPBUILDING,165555432.82
CAMPBELL DRUG STORES,165206000.00
INMARSAT SOLUTIONS,164036596.02
PMG TECHNOLOGIES,163348462.67
JOHN HOWARD SOCIETY,160630714.14
MINDWIRE SYSTEMS,160474906.00
SAP,160452658.88
ADVANCED CHIPPEWA TECHNOLOGIES,157193797.29
TES CONTRACT SERVICES,157080641.49
KYNDRYL CANADA,156920436.07
GOLDER ASSOCIATES,151248906.56
SPARTAN BIOSCIENCE,149048550.00
CANADIAN RED CROSS,147594275.13
HOLMAN FENWICK WILLAN,144098850.00
TEKNION,143917388.86
DECISIVE GROUP,143767554.86
GARDA SECURITY GROUP,143413368.07
TELESAT,141140122.49
CACHE COMPUTER CONSULTING,140056054.55
CORADIX TECHNOLOGY CONSULTING,139546847.40
AECOM,139411732.66
CISTEL TECHNOLOGY,138409130.41
COMPUCOM CANADA,137470496.85
NEWDOCK ST JOHN S DOCKYARD,134858364.19
CLICK NETWORKS,134086381.12
SALVATION ARMY,133796550.54
KPMG,130670582.19
EXPRESS SCRIPTS CANADA,127094684.76
L AGENCE,126068435.55
METRO LOGISTICS,125480141.01
STONEWORKS TECHNOLOGIES,125082284.41
BMC SOFTWARE CANADA,120274459.67
ZAYO CANADA,119272962.42
ADRM TECHNOLOGY CONSULTING,118676810.15
SNC LAVALIN,117076246.93
FLUID ENERGY GROUP,116014546.07
INFOSYS,114848110.09
COMPUTER ASSOCIATES CANADA,114302521.48
ISOPLEX,113565000.00
AMERESCO CANADA,113538202.52
HONEYWELL,113221094.56
COMPUTERSHARE INVESTOR SERVICES,113165560.66
THE STEVENS COMPANY,109819459.30
ERNST YOUNG,108544958.86
HEDDLE MARINE SERVICES,108367861.38
ITEX,107724135.46
CEPHEID,107680593.20
COWATERSOGEMA,107388089.09
PETERS CONSTRUCTION,105937420.05
TIREE,105552783.01
IRON MOUNTAIN,104952327.86
LUMINULTRA TECHNOLOGIES,104272086.07
WHITE BEAR INDUSTRIES,104203378.46
ALTIS HUMAN RESOURCES,103281698.75
OKANAGAN AGGREGATES,102887040.57
DYNABOOK CANADA,102243010.16
VMWARE,101438599.16
LEONARDO,99698194.33
XPERA RISK MITIGATION INVESTIGATION,99505484.89
WAZANA CLOTHING,99491989.67
MILESTONE ENVIRONMENTAL,98106501.31
ROCHE DIAGNOSTICS,97116061.30
HYPERTEC,96382753.50
WARTSILA,96053465.04
PURESPIRIT SOLUTIONS,94690142.01
CONSTRUCTION DEMATHIEU BARD,93791530.81
ONX ENTERPRISE SOLUTIONS,92348326.64
FEDERAL EXPRESS CANADA,92330964.62
HIKE METAL PRODUCTS,92291100.27
ENGLOBE,92080802.89
ECLIPSYS SOLUTIONS,91098966.43
FUJITSU,90880606.86
TISSEUR,89813112.22
