name,filepath,display_label
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,brookfield_global_integrated_solutions,Brookfield Global Integrated Solutions
GENERAL DYNAMICS,general_dynamics,General Dynamics
VANCOUVER SHIPYARDS,vancouver_shipyards,Vancouver Shipyards
IRVING SHIPBUILDING,irving_shipbuilding,Irving Shipbuilding
IBM CANADA,ibm_canada,IBM Canada
PCL CONSTRUCTORS,pcl_constructors,PCL Constructors
BELL CANADA,bell_canada,Bell Canada
CALIAN,calian,Calian
CANADIAN CORPS OF COMMISSIONAIRES,canadian_corps_of_commissionaires,Canadian Corps of Commissionaires
AIRBUS,airbus,Airbus
CHANTIER DAVIE CANADA,chantier_davie_canada,Chantier Davie Canada
MACDONALD DETTWILER AND ASSOCIATES,macdonald_dettwiler_and_associates,MacDonald Dettwiler and Associates
MICROSOFT CANADA,microsoft_canada,Microsoft Canada
D H PARTNERSHIP,d_h_partnership,D H Partnership
POMERLEAU,pomerleau,Pomerleau
CAE,cae,CAE
LOCKHEED MARTIN,lockheed_martin,Lockheed Martin
SIGNATURE SUR LE SAINT LAURENT,signature_sur_le_saint_laurent,Signature sur le Saint Laurent
L3HARRIS,l3harris,L3Harris
THALES,thales,Thales
NORTHERN MICRO,northern_micro,Northern Micro
MACK TRUCKS,mack_trucks,Mack Trucks
FEDERAL FLEET SERVICES,federal_fleet_services,Federal Fleet Services
SEASPAN VICTORIA SHIPYARDS,seaspan_victoria_shipyards,Seaspan Victoria Shipyards
SNC LAVALIN,snc_lavalin,SNC Lavalin
SIKORSKY AIRCRAFT,sikorsky_aircraft,Sikorsky Aircraft
"NAVTECH",navtech,Navtech
BABCOCK INTERNATIONAL GROUP,babcock_international_group,Babcock International Group
SWITCH HEALTH,switch_health,Switch Health
ELLISDON,ellisdon,Ellisdon
WSP,wsp,WSP
DELOITTE,deloitte,Deloitte
I M P GROUP,i_m_p_group,I M P Group
TELUS CANADA,telus_canada,Telus Canada
CASCADE AEROSPACE,cascade_aerospace,Cascade Aerospace
SI SYSTEMS,si_systems,SI Systems
COSSETTE COMMUNICATIONS,cossette_communications,Cossette Communications
CANADIAN BANK NOTE COMPANY,canadian_bank_note_company,Canadian Bank Note Company
PRICEWATERHOUSE COOPERS,pricewaterhouse_coopers,Pricewaterhouse Coopers
ORACLE CANADA,oracle_canada,Oracle Canada
KF AEROSPACE,kf_aerospace,KF Aerospace
VERITAAQ TECHNOLOGY HOUSE,veritaaq_technology_house,Veritaaq Technology House
MAPLE REINDERS CONSTRUCTORS,maple_reinders_constructors,Maple Reinders Constructors
PROLINE ADVANTAGE,proline_advantage,Proline Advantage
TOP ACES,top_aces,Top Aces
MOTOROLA SOLUTIONS CANADA,motorola_solutions_canada,Motorola Solutions Canada
RAYTHEON,raytheon,Raytheon
FORD MOTOR COMPANY,ford_motor_company,Ford Motor Company
ADGA GROUP,adga_group,ADGA Group
NISHA TECHONOLOGIES,nisha_techonologies,Nisha Techonologies
SERCO,serco,Serco
WCG INTERNATIONAL CONSULTANTS,wcg_international_consultants,WCG International Consultants
HEWLETT PACKARD,hewlett_packard,Hewlett Packard
IRVING OIL,irving_oil,Irving Oil
TPG TECHNOLOGY CONSULTANTS,tpg_technology_consultants,TPG Technology Consultants
SAP,sap,SAP
MODIS CANADA,modis_canada,Modis Canada
BELL TEXTRON,bell_textron,Bell Textron
RHEINMETALL,rheinmetall,Rheinmetall
UNITED STATES DEPARTMENT OF THE NAVY,united_states_department_of_the_navy,United States Department of the Navy
EXCEL HUMAN RESOURCES,excel_human_resources,Excel Human Resources
TEKSYSTEMS CANADA,teksystems_canada,TEKsystems Canada
ACCENTURE,accenture,Accenture
MUFACTOR,mufactor,Mufactor
IBISKA TELECOM,ibiska_telecom,Ibiska Telecom
PARSONS CANADA,parsons_canada,Parsons Canada
