d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,149125.10,147866.64
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,148717.66,141381.46
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,207710.98,213093.45
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,214525.69,217861.88
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,217274.20,215440.63
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,131499.80,124133.17
CDW CANADA,2019-2020,0.00,0.00
CDW CANADA,2020-2021,0.00,0.00
CORADIX TECHNOLOGY CONSULTING,2018-2019,62150.00,62761.49
CORADIX TECHNOLOGY CONSULTING,2020-2021,317982.00,300168.63
CSDC SYSTEMS,2017-2018,13146.42,13487.09
DELL COMPUTER,2017-2018,22484.38,23014.38
ECOLE DE LANGUES ABCE,2018-2019,10650.00,10857.14
ECOLE DE LANGUES EAGLE,2018-2019,21778.35,22073.07
ECOLE DE LANGUES EAGLE,2019-2020,7206.65,7232.28
ECOLE DE LANGUES EAGLE,2020-2021,9713.59,9178.51
ECOLE DE LANGUES EAGLE,2021-2022,7686.41,7267.97
EXCEL HUMAN RESOURCES,2018-2019,162898.32,165061.17
EXCEL HUMAN RESOURCES,2019-2020,64909.68,65097.27
FAST FORWARD FRENCH,2019-2020,15375.00,15386.01
FORRESTER RESEARCH,2017-2018,58949.47,60478.19
FREEBALANCE,2017-2018,3302.92,3380.78
FREEBALANCE,2018-2019,19763.38,20070.73
FREEBALANCE,2019-2020,79647.29,78975.15
FREEBALANCE,2020-2021,19763.38,18788.46
GARTNER,2017-2018,9981.54,10216.83
GARTNER,2018-2019,104182.36,105857.78
GENESIS INTEGRATION,2017-2018,33527.55,34317.86
GENESIS INTEGRATION,2018-2019,10815.45,10925.90
GENESIS INTEGRATION,2019-2020,43505.00,43196.23
GOSS GILROY,2019-2020,55822.00,55200.88
GRAND TOY,2017-2018,22369.48,22896.78
HONEYWELL,2019-2020,16693.95,16309.20
IBM CANADA,2017-2018,86330.39,88574.57
IBM CANADA,2018-2019,123998.03,125729.03
IBM CANADA,2019-2020,108234.11,108136.99
IBM CANADA,2020-2021,80022.64,75850.35
IBM CANADA,2021-2022,95713.36,90162.44
IFATHOM,2019-2020,161341.40,158298.48
KNOWLEDGE CIRCLE,2018-2019,110369.62,111920.19
KNOWLEDGE CIRCLE,2019-2020,44333.48,44242.45
KNOWLEDGE CIRCLE,2020-2021,21783.45,20708.88
KNOWLEDGE CIRCLE,2021-2022,5430.94,5135.29
KPMG,2017-2018,16192.68,16610.58
KPMG,2018-2019,19967.32,20277.84
KPMG,2019-2020,19141.88,18910.89
KPMG,2020-2021,68.12,64.30
LANSDOWNE TECHNOLOGIES,2020-2021,48731.25,46392.77
MAPLESOFT CONSULTING,2017-2018,18080.00,18514.14
MAPLESOFT CONSULTING,2019-2020,38086.23,37639.07
MAPLESOFT CONSULTING,2020-2021,36493.77,34801.66
MICROSOFT CANADA,2017-2018,102530.87,105187.78
MICROSOFT CANADA,2018-2019,105496.16,107136.78
MIREMS,2020-2021,56500.00,53587.95
MNP,2019-2020,133214.08,130538.12
MNP,2020-2021,362859.24,344959.49
MNP,2021-2022,181926.69,171375.81
NISHA TECHONOLOGIES,2018-2019,457694.91,462522.59
NISHA TECHONOLOGIES,2019-2020,18900.14,18582.12
NORTHERN MICRO,2017-2018,325372.78,333042.49
QMR,2018-2019,49720.00,50225.09
RANDSTAD,2019-2020,151872.00,148679.23
RICOH,2018-2019,93058.12,93973.72
SOFTCHOICE,2017-2018,190930.83,195453.98
SOFTCHOICE,2018-2019,32809.87,33441.60
SOFTCHOICE,2020-2021,49856.33,47225.59
SOFTCHOICE,2021-2022,77449.96,72742.51
ST JOSEPH PRINT GROUP,2017-2018,19436.00,19939.65
TERAMACH TECHNOLOGIES,2019-2020,79326.00,78656.57
THE AIM GROUP,2019-2020,99440.00,99501.91
THE AIM GROUP,2020-2021,59664.00,56683.79
THE RIGHT DOOR CONSULTING,2018-2019,24430.11,24678.29
THE RIGHT DOOR CONSULTING,2019-2020,23474.48,23459.25
THE RIGHT DOOR CONSULTING,2020-2021,32325.41,30646.70
TOSHIBA CANADA,2018-2019,119424.50,120634.86
TOTEM OFFISOURCE,2017-2018,74287.52,76213.09
TRM TECHNOLOGIES,2018-2019,34686.00,35027.28
TRM TECHNOLOGIES,2019-2020,51980.00,51388.28
TRM TECHNOLOGIES,2020-2021,51980.00,49624.46
XEROX,2017-2018,6105.18,6266.60
XEROX,2018-2019,22124.49,22459.90
XEROX,2019-2020,26831.18,26604.75
XEROX,2020-2021,26757.87,25437.91
XEROX,2021-2022,26757.87,24843.21
