d_vendor_name,d_fiscal_year,total
ADVANCED BUSINESS INTERIORS,2018-2019,24973
ADVANCED BUSINESS INTERIORS,2019-2020,22571.1
ADVANCED BUSINESS INTERIORS,2020-2021,22474.36
APPLIED ELECTONICS,2019-2020,10783
ERNST YOUNG,2017-2018,32235.404993065185
ERNST YOUNG,2018-2019,33050.34500693481
FIRST AIR,2018-2019,165560.46
FIRST AIR,2019-2020,194201.58
GENERAL MOTORS,2019-2020,37383.229999999996
ONX ENTERPRISE SOLUTIONS,2019-2020,18323.2
QMR,2019-2020,22092.2
STRATOS,2017-2018,49550.5
STRATOS,2019-2020,19800
STRATOS,2020-2021,26007.28873239437
THE RIGHT DOOR CONSULTING,2017-2018,57571.96374622356
THE RIGHT DOOR CONSULTING,2018-2019,204870.53625377643
THE RIGHT DOOR CONSULTING,2019-2020,93788
XEROX,2017-2018,13018.495636889269
XEROX,2018-2019,17668.583627585012
XEROX,2019-2020,7797.459702331904
XEROX,2020-2021,13886.709860736075
