d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,3612001.19
INTERNATIONAL REPORTING,1950379.7327450982
NISHA TECHONOLOGIES,1758717.97
MAPLESOFT CONSULTING,1626676.9947462352
ORANGUTECH,1424724.215598861
TEKSYSTEMS CANADA,1378044.843063258
VERITAAQ TECHNOLOGY HOUSE,1367663.5509649124
CDW CANADA,1153666
CONOSCENTI TECHNOLOGIES,783827.8846214161
IFATHOM,777677.0133773454
SI SYSTEMS,604083.3845701884
MICROSOFT CANADA,554381.0859679312
HYPERTEC,551156.8200000001
NEWFOUND RECRUITING,550921.0611418525
IRON MOUNTAIN,510697.7
TEKNION,456546.84
DELOITTE AND TOUCHE,444330.71622511646
ZERNAM ENTERPRISE,433011.61979381443
NITAM SOLUTIONS,431410.27
INTEGRA NETWORKS,337011.37
XEROX,324238.7643126429
SYSTEMSCOPE,322879.75
PURESPIRIT SOLUTIONS,299278.75
GLOBAL UPHOLSTERY,290622.8
CLOSEREACH,288426.43776824034
APPLIED ELECTONICS,284727.88
EXCEL HUMAN RESOURCES,256496.36276923076
SIERRA SYSTEMS GROUP,251549.95599369085
CISTEL TECHNOLOGY,244608.84
QMR,227523.406023223
DECISIVE TECHNOLOGIES,219948.23
ADVANCED CHIPPEWA TECHNOLOGIES,183742.31378082192
CBCI TELECOM,181452.56
GARTNER,148542.5146027397
CANON,144661.41066338515
THE KTL GROUP,144075
ADVANCED BUSINESS INTERIORS,141318.13
PROSCI CANADA,123904.5
CORADIX TECHNOLOGY CONSULTING,103818.75
MDOS CONSULTING,102830
2KEYS,102434.5
MAKWA RESOURCING,102293.24999999999
THE AIM GROUP,101700
TECSIS,86614.5
LUMINA IT,85369.92
D DOYLE INSTALLATIONS,81454.67
PANASONIC,74578.31
4 OFFICE AUTOMATION,70442.48921834116
ALTIS HUMAN RESOURCES,69421.44133483122
STONEWORKS TECHNOLOGIES,68222.51
FACTIVA,67231.84
TAG HR,66429.04175706646
GENESIS INTEGRATION,63350.18
ECOLE DE LANGUES LA CITE,57290
PRA,54420.39156626506
PRICEWATERHOUSE COOPERS,49963.009999999995
INFO TECH RESEARCH GROUP,45175.23287671233
CSDC SYSTEMS,40723.807299270076
THE RIGHT DOOR CONSULTING,39548.59
QUINTET CONSULTING,38787.4858096828
SOFTCHOICE,35723.189999999995
SHI CANADA,34291.83616438356
PRINTERS PLUS,34003.365
ADGA GROUP,28708.723886718748
CONVERGINT TECHNOLOGIES,25708.64
GRAND TOY,25396.4
TENAQUIP,21326.440000000002
PALADIN SECURITY GROUP,20824.829999999998
SDL INTERNATIONAL CANADA,19017.9
BP M GOVERNMENT IM IT CONSULTING,16187.25
NUIX NORTH AMERICA,15046.48
GRAYBRIDGE INTERNATIONAL CONSULTING,14988.75
LEXISNEXIS CANADA,14472
PITNEY BOWES,13037.510961298256
TURTLE ISLAND STAFFING,12645.579999999998
WESCO DISTRIBUTION CANADA,11954.740000000002
INTERACTIVE AUDIO VISUAL,11492.1
KONICA MINOLTA BUSINESS SOLUTIONS,9677.045310597981
MORNEAU SHEPELL,430.5176950998185
BMC SOFTWARE CANADA,199.0814713896458
