d_vendor_name,overall_total
CANADIAN CORPS OF COMMISSIONAIRES,3612001.19
NISHA TECHONOLOGIES,1758717.97
MAPLESOFT CONSULTING,1626676.99
INTERNATIONAL REPORTING,1550381.70
ORANGUTECH,1424724.22
TEKSYSTEMS CANADA,1378044.84
VERITAAQ TECHNOLOGY HOUSE,1367663.55
CDW CANADA,1153666.00
CONOSCENTI TECHNOLOGIES,783827.88
IFATHOM,777677.01
SI SYSTEMS,604083.38
MICROSOFT CANADA,554381.09
HYPERTEC,551156.82
NEWFOUND RECRUITING,550921.06
IRON MOUNTAIN,510697.70
TEKNION,456546.84
DELOITTE AND TOUCHE,444330.72
ZERNAM ENTERPRISE,433011.62
NITAM SOLUTIONS,431410.27
INTEGRA NETWORKS,337011.37
XEROX,324238.76
SYSTEMSCOPE,322879.75
PURESPIRIT SOLUTIONS,299278.75
GLOBAL UPHOLSTERY,290622.80
CLOSEREACH,288426.44
APPLIED ELECTONICS,284727.88
EXCEL HUMAN RESOURCES,256496.36
SIERRA SYSTEMS GROUP,251549.96
CISTEL TECHNOLOGY,244608.84
QMR,227523.41
DECISIVE TECHNOLOGIES,219948.23
ADVANCED CHIPPEWA TECHNOLOGIES,183742.31
CBCI TELECOM,181452.56
GARTNER,148542.51
THE KTL GROUP,144075.00
ADVANCED BUSINESS INTERIORS,141318.13
CANON,132544.95
PROSCI CANADA,123904.50
CORADIX TECHNOLOGY CONSULTING,103818.75
MDOS CONSULTING,102830.00
2KEYS,102434.50
MAKWA RESOURCING,102293.25
THE AIM GROUP,101700.00
TECSIS,86614.50
LUMINA IT,85369.92
D DOYLE INSTALLATIONS,81454.67
PANASONIC,74578.31
4 OFFICE AUTOMATION,70442.49
STONEWORKS TECHNOLOGIES,68222.51
FACTIVA,67231.84
TAG HR,66429.04
GENESIS INTEGRATION,63350.18
ALTIS HUMAN RESOURCES,60201.50
ECOLE DE LANGUES LA CITE,57290.00
PRA,54420.39
PRICEWATERHOUSE COOPERS,49963.01
INFO TECH RESEARCH GROUP,45175.23
CSDC SYSTEMS,40723.81
THE RIGHT DOOR CONSULTING,39548.59
QUINTET CONSULTING,38787.49
SOFTCHOICE,35723.19
SHI CANADA,34291.84
ADGA GROUP,28708.72
GRAND TOY,25396.40
PRINTERS PLUS,22698.86
TENAQUIP,21326.44
PALADIN GROUP,20824.83
SDL INTERNATIONAL CANADA,19017.90
BP M GOVERNMENT IM IT CONSULTING,16187.25
NUIX NORTH AMERICA,15046.48
GRAYBRIDGE INTERNATIONAL CONSULTING,14988.75
LEXISNEXIS CANADA,14472.00
PITNEY BOWES,13037.51
TURTLE ISLAND STAFFING,12645.58
WESCO DISTRIBUTION CANADA,11954.74
INTERACTIVE AUDIO VISUAL,11492.10
KONICA MINOLTA BUSINESS SOLUTIONS,9677.05
MORNEAU SHEPELL,430.52
BMC SOFTWARE CANADA,199.08
