d_most_recent_category,total,percentage
3_information_technology,84160171.99983214,0.5352148774778457
10_office_management,28837779.87701419,0.18339326615967488
2_professional_services,23755204.214762203,0.1510707310970148
8_security_and_protection,12853375.65,0.08174077726106829
9_human_capital,3539068.9221677748,0.022506635794036337
5_transportation_and_logistics,2054655.3274415114,0.013066538164133086
4_medical,1106798.7684470075,0.007038663932960796
1_facilities_and_construction,315079.7361355986,0.0020037430813699226
7_travel,294312.3798931794,0.0018716735078090781
6_industrial_products_and_services,184203.26801779185,0.0011714368825595778
NA,144926.43,9.216566415276133e-4
