d_most_recent_category,total,percentage
2_professional_services,188314579.08941466,0.35140198505780895
3_information_technology,134311499.9685963,0.25063023762300723
5_transportation_and_logistics,63823438.10769956,0.11909690132706521
6_industrial_products_and_services,46996498.91688717,0.08769720905315517
9_human_capital,32946753.124136027,0.06147986260550633
NA,23645904.789075345,0.04412413484684945
8_security_and_protection,16511521.549854953,0.030811111263928513
1_facilities_and_construction,15974980.974862145,0.02980990666241432
10_office_management,12261153.123134444,0.022879766226285705
7_travel,928900.2845476965,0.0017333623636003037
4_medical,179805.09396186066,3.35522970378746e-4
