d_most_recent_category,total,percentage
2_professional_services,188551527.70916548,0.3504210106627443
3_information_technology,136185222.81365332,0.25309878946884634
5_transportation_and_logistics,63893717.89340652,0.11874579575798058
6_industrial_products_and_services,45462714.899001695,0.08449197254425622
9_human_capital,33791552.76335825,0.06280124173517287
NA,23833790.102480505,0.04429484564302974
8_security_and_protection,16511521.549854953,0.030686487345806843
10_office_management,14927604.503072929,0.027742794345369137
1_facilities_and_construction,13389470.740004487,0.024884189091211165
7_travel,928900.2845476965,0.0017263513081590997
11_defence,415582.81248415716,7.72356240939039e-4
4_medical,179805.09396186066,3.341658564846628e-4
