d_most_recent_category,total,percentage
2_professional_services,234133251.67,0.34725584528820075
3_information_technology,173996510.08,0.2580637511121345
5_transportation_and_logistics,77122976.47,0.11438530919927521
6_industrial_products_and_services,62238617.80,0.09230950187643311
9_human_capital,41314822.25,0.061276275025849265
0_other,28845726.56,0.04278267647379167
8_security_and_protection,21051882.71,0.03122319991808452
1_facilities_and_construction,20455830.82,0.030339162729996903
10_office_management,13732947.35,0.020368086155989854
7_travel,1037864.34,0.0015393134301730103
4_medical,308045.26,4.5687879007129476e-4
