d_vendor_name,overall_total
THE AIM GROUP,5533591.84
ITEX,961058.30
ALTIS HUMAN RESOURCES,624710.91
MICROSOFT CANADA,540051.79
NISHA TECHONOLOGIES,534156.97
CBCI TELECOM,414659.44
ADVANCED CHIPPEWA TECHNOLOGIES,290846.30
FMC PROFESSIONALS,250040.61
GARTNER,234123.60
EXCEL HUMAN RESOURCES,202301.76
ADVANCED BUSINESS INTERIORS,168813.81
THE VCAN GROUP,147972.83
LIONBRIDGE,139891.80
THE RIGHT DOOR CONSULTING,101138.45
TEKNION,98048.19
SHARP ELECTRONICS,92936.14
SOFTCHOICE,83497.78
BELL CANADA,79810.59
CDW CANADA,67615.09
IPSS,66959.00
GOSS GILROY,66812.81
DELOITTE AND TOUCHE,64719.63
ASOKAN BUSINESS INTERIORS,64360.52
CONEXSYS,63886.28
AVI SPL CANADA,62458.30
OPTIV CANADA FEDERAL,58232.78
DELL COMPUTER,57610.55
RAYMOND CHABOT GRANT THORNTON,53324.70
STIFF SENTENCES,49720.00
LEXISNEXIS CANADA,45426.62
LANGUAGE RESEARCH DEVELOPMENT GROUP,40000.00
RISK SCIENCES INTERNATIONAL,39816.00
KPMG,39416.66
ST JOSEPH PRINT GROUP,35662.18
LOWE MARTIN COMPANY,34492.50
TELECOM COMPUTER SERVICES,25923.96
ETICO,24995.57
MNP,24995.57
ACART COMMUNICATIONS,24577.50
TOTEM OFFISOURCE,22397.13
ELSEVIER,18352.31
TRM TECHNOLOGIES,17673.20
INTEGRA NETWORKS,17651.64
STANTEC,14989.45
MAKWA RESOURCING,11187.00
MEGALEXIS COMMUNICATIONS,8464.26
