d_vendor_name,overall_total
D H PARTNERSHIP,950085944.55
ACCENTURE,74711845.50
ORACLE CANADA,53492994.04
CGI,47026311.99
GATESTONE,44058616.89
CACHE COMPUTER CONSULTING,33214903.21
ADOBE,32803619.15
SYSTEMATIX SOLUTIONS,26779711.57
PROCOM CONSULTANTS,23163653.18
GARTNER,18894767.36
PURESPIRIT SOLUTIONS,16199694.09
R E GILMORE INVESTMENTS,12495782.38
SAP,9747045.93
SAS INSTITUTE,9014259.65
TES CONTRACT SERVICES,8038837.56
ACOSYS CONSULTING SERVICES,7198050.97
HOOTSUITE MEDIA,6610257.58
INSTRUX MEDIA,4498425.06
ADVANCED BUSINESS INTERIORS,4378993.65
SABA SOFTWARE,4257859.01
"NAVPOINT CONSULTING GROUP",3854945.74
IT NET CONSULTANTS,3044280.34
CLOSEREACH,3010937.56
NITAM SOLUTIONS,2921746.25
ORANGUTECH,2704155.98
PROSCI CANADA,2569297.50
MAPLESOFT CONSULTING,2561107.95
ONIX NETWORKING CANADA,2241641.70
MANIFEST COMMUNICATIONS,2144782.75
ATTACHMATE,2144396.67
EAGLE PROFESSIONAL RESOURCES,2102693.73
THE HALIFAX COMPUTER CONSULTING GROUP,2087966.21
GARDA SECURITY GROUP,2074134.63
SYSTEMSCOPE,1997130.60
HEWLETT PACKARD,1934453.71
GLOBAL UPHOLSTERY,1888642.87
GC STRATEGIES,1880337.11
FERENCE COMPANY CONSULTING,1729466.21
IPSOS,1671775.51
SECUREKEY TECHNOLOGIES,1549609.37
OPTIV CANADA FEDERAL,1401033.06
FORRESTER RESEARCH,1267633.73
ZERNAM ENTERPRISE,1057241.24
MCKINSEY AND COMPANY,897282.34
AON REED STENHOUSE,883561.96
D DOYLE INSTALLATIONS,864342.74
HORIZANT,848951.39
MICRO FOCUS CANADA,837289.39
EBERHARD VON HUENE ASSOCIATES,821971.91
EBSCO CANADA,781960.94
CSDC SYSTEMS,747580.36
MICHAEL WAGER CONSULTING,733510.49
DLS TECHNOLOGY,715178.55
CBCI TELECOM,678113.40
SALESFORCE CANADA,675173.43
THE VCAN GROUP,657992.63
PRECISIONIT,654682.54
MNP,623461.97
QUINTET CONSULTING,542957.07
INFO TECH RESEARCH GROUP,515688.59
ECLIPSYS SOLUTIONS,504955.93
GLOBAL TOTAL OFFICE,472448.04
HAWORTH,469158.33
PROTAK CONSULTING GROUP,464501.20
GLOBAL KNOWLEDGE,413606.61
SOFTSIM TECHNOLOGIES,360191.04
PATTISON SIGN GROUP,359251.61
FAST TRACK STAFFING,356162.99
NISSAN CANADA,324075.60
UNIVERSITY OF OTTAWA,314230.00
MEDIA Q,280755.62
CHARRON HUMAN RESOURCES,257874.95
EPERFORMANCE,249036.75
ICEBERG NETWORKS,247196.20
HUBSPOKE,237674.69
ASOKAN BUSINESS INTERIORS,229888.10
THE MATHWORKS,228682.34
OPROMA,221326.86
ITEX,206306.37
MESSA COMPUTING,206301.52
MOBILE RESOURCE GROUP,187514.08
SDL INTERNATIONAL CANADA,184123.71
EKOS RESEARCH ASSOCIATES,181706.98
SUBARU CANADA,178401.15
WPP GROUP CANADA COMMUNICATIONS,175293.49
BMC SOFTWARE CANADA,167290.01
NUA OFFICE,160633.24
CARAHSOFT TECHNOLOGY,152973.98
ACART COMMUNICATIONS,149982.54
GENERAL MOTORS,130121.36
CNW GROUP,127816.20
NEPTUNE SECURITY SERVICES,122944.00
TELECOM COMPUTER SERVICES,122483.42
AGILEC,104511.80
UNIVERSITY OF WATERLOO,104100.00
UNIVERSITY OF BRITISH COLUMBIA,99549.97
UNIVERSITY OF GUELPH,95000.00
LAURENTIAN TECHNOLOGIES,94460.23
OGILVY MONTREAL,83047.94
LEO PISCES SERVICES GROUP,80436.50
CANSEL SURVEY EQUIPMENT,71607.46
NOVA NETWORKS,70476.48
PHASELOCK SYSTEMS INTERNATIONAL,49676.20
RACEROCKS 3D,41052.90
ZYCOM,37060.75
UNIVERSITY OF TORONTO,35887.00
DALHOUSIE UNIVERSITY,28215.12
MITSUBISHI MOTOR SALES,27556.20
BRIDGES OF CANADA,26443.10
PURELOGIC,22890.43
FSC,21384.00
INTERACTIVE AUDIO VISUAL,20616.17
COLLIERS PROJECT LEADERS,20613.00
INSA,19671.43
PROMAXIS,18080.00
BARGREEN ELLINGSON,13910.39
DECISIVE TECHNOLOGIES,11968.90
JOHN HOWARD SOCIETY,11037.61
