d_most_recent_category,total,percentage
2_professional_services,178462483.99884725,0.7073679424595771
3_information_technology,45899850.4766555,0.1819322586089509
1_facilities_and_construction,6159423.8384887,0.02441397693083979
10_office_management,5493452.632454048,0.021774281062025717
6_industrial_products_and_services,3575330.4938389733,0.014171461241434891
9_human_capital,3487925.9939520885,0.013825017888964836
5_transportation_and_logistics,2702553.75817822,0.01071205470456902
4_medical,2534752.540213431,0.0100469445949578
7_travel,2046820.6050317152,0.008112939187681054
8_security_and_protection,1754360.3443888093,0.006953720688719109
NA,173930,6.894026322797846e-4
